_id,_form_id,catalog_id,model_id,manufacturer,power_source,equipment_type,climate_zone,refrigerator_gross_volume,refrigerator_net_volume,freezer_gross_volume,freezer_net_volume,refrigerator_picture_contentType,refrigerator_picture_uriFragment,_locale,_savepoint_type,_savepoint_timestamp,_savepoint_creator,_row_etag,_filter_type,_filter_value
M18,,E003014,TCW2000 AC,Dometic,"[""electricity""]",ice_lined_refrigerator,hot,60,99,0,43,image/jpg,E003014.jpg,default,COMPLETE,2016-07-11T16:01:59.016000000,anonymous,,,
M19,,E003015,HBC-340,Haier,"[""electricity""]",ice_lined_refrigerator,hot,340,200,0,0,image/jpg,E003015.jpg,default,COMPLETE,2016-07-11T16:01:59.017000000,anonymous,,,
M20,,E003016,PS65i,True Energy,"[""solar""]",solar_photovoltaic_refrigerator,hot,61,37.5,0,0,image/jpg,E003016.jpg,default,COMPLETE,2016-07-11T16:01:59.019000000,anonymous,,,
M21,,E003017,TCW3000 AC,Dometic,"[""electricity""]",ice_lined_refrigerator,hot,204,150,0,0,image/jpg,E003017.jpg,default,COMPLETE,2016-07-11T16:01:59.022000000,anonymous,,,
M22,,E003018,HBC-60,Haier Medical and Laboratory,"[""solar""]",solar_photovoltaic_refrigerator,hot,50,21,0,0,image/jpg,E003018.jpg,default,COMPLETE,2016-07-11T16:01:59.023000000,anonymous,,,
M23,,E3100M,FCW 200,Dometic,"[""electricity""]",chest_freezer,hot,0,0,180,144,image/jpg,E3100M.jpg,default,COMPLETE,2016-07-11T16:01:59.025000000,anonymous,,,
M24,,E3101M,PVR150,Solamatic,"[""solar""]",solar_photovoltaic_refrigerator,hot,105,30,38,0,image/jpg,E3101M.jpg,default,COMPLETE,2016-07-11T16:01:59.027000000,anonymous,,,
M26,,E3103M,VC-65 F,Dulas,"[""solar""]",solar_photovoltaic_refrigerator,hot,68,37.5,25,0,image/jpg,E3103M.jpg,default,COMPLETE,2016-07-11T16:01:59.031000000,anonymous,,,
M28,,E3105M,VaccPack XL 6000,Kyocera Solar,"[""solar""]",solar_photovoltaic_refrigerator,hot,114,60,26,0,image/jpg,E3105M.jpg,default,COMPLETE,2016-07-11T16:01:59.035000000,anonymous,,,
M29,,E3106M,PS65,Bright Light Solar,"[""solar""]",solar_photovoltaic_refrigerator,hot,66,37.5,24,0,image/jpg,E3106M.jpg,default,COMPLETE,2016-07-11T16:01:59.040000000,anonymous,,,
M30,,E3107,TCW 3000,Dometic,"[""electricity""]",ice_lined_refrigerator,hot,278,126.5,0,0,image/jpg,E3107.jpg,default,COMPLETE,2016-07-11T16:01:59.042000000,anonymous,,,
M31,,E3108M,PR 265 EK,Zero,"[""electricity"", ""kerosene""]",upright_refrigerator,hot,179,37.5,0,32,image/jpg,E3108M.jpg,default,COMPLETE,2016-07-11T16:01:59.044000000,anonymous,,,
M32,,E3109M,PS40,Bright Light Solar,"[""solar""]",solar_photovoltaic_refrigerator,hot,35,18,0,24,image/jpg,E3109M.jpg,default,COMPLETE,2016-07-11T16:01:59.047000000,anonymous,,,
M34,,E3111M,TCW 2000 AC,Dometic,"[""electricity""]",ice_lined_refrigerator,hot,118,60,42,0,image/jpg,E3111M.jpg,default,COMPLETE,2016-07-11T16:01:59.051000000,anonymous,,,
M35,,E321M,RCW 42 EG,Dometic,"[""electricity"", ""gas""]",chest_refrigerator,temperate,40,10.5,1.6,0,image/jpg,E321M.jpg,default,COMPLETE,2016-07-11T16:01:59.016000000,anonymous,,,
M36,,E322M,RCW 42 EK,Dometic,"[""electricity"", ""kerosene""]",chest_refrigerator,temperate,40,18.2,1.2,0,image/jpg,E322M.jpg,default,COMPLETE,2016-07-11T16:01:59.017000000,anonymous,,,
M37,,E324M,TCW 1152,Dometic,"[""electricity""]",ice_lined_refrigerator,hot,250,169,0,0,image/jpg,E324M.jpg,default,COMPLETE,2016-07-11T16:01:59.019000000,anonymous,,,
M39,,E331M,RCW 42 DC,Dometic,"[""solar""]",solar_photovoltaic_refrigerator,hot,27,14,0,0,image/jpg,E331M.jpg,default,COMPLETE,2016-07-11T16:01:59.023000000,anonymous,,,
M40,,E337M,VR50F,BP Solar,"[""solar""]",solar_photovoltaic_refrigerator,hot,44,17.5,5,0,image/jpg,E337M.jpg,default,COMPLETE,2016-07-11T16:01:59.025000000,anonymous,,,
M41,,E357M,MK 144,Vestfrost,"[""electricity""]",ice_lined_refrigerator,hot,94,45,0,0,image/jpg,E357M.jpg,default,COMPLETE,2016-07-11T16:01:59.027000000,anonymous,,,
M42,,E362M,TCW 1990,Dometic,"[""electricity""]",ice_lined_refrigerator,hot,66,37.5,17,0,image/jpg,E362M.jpg,default,COMPLETE,2016-07-11T16:01:59.029000000,anonymous,,,
M43,,E364M,VC 139 F,LEC RefrigerationPLC,"[""electricity""]",ice_lined_refrigerator,hot,262,107.5,0,0,image/jpg,E364M.jpg,default,COMPLETE,2016-07-11T16:01:59.031000000,anonymous,,,
M44,,E365M,NRC 30-10,Norcoast,"[""solar""]",solar_photovoltaic_refrigerator,hot,15.5,15.5,12.2,0,image/jpg,E365M.jpg,default,COMPLETE,2016-07-11T16:01:59.033000000,anonymous,,,
M46,,E372M,FCW 20 EG,Dometic,"[""electricity"", ""gas""]",chest_freezer,temperate,0,0,18,14,image/jpg,E372M.jpg,default,COMPLETE,2016-07-11T16:01:59.040000000,anonymous,,,
M47,,E373M,FCW 20 EK,Dometic,"[""electricity"", ""kerosene""]",chest_freezer,temperate,0,0,18,14,image/jpg,E373M.jpg,default,COMPLETE,2016-07-11T16:01:59.042000000,anonymous,,,
M49,,E379M,VC-150 F,Dulas,"[""solar""]",solar_photovoltaic_refrigerator,hot,127,85,63,0,image/jpg,E379M.jpg,default,COMPLETE,2016-07-11T16:01:59.047000000,anonymous,,,
M51,,E384M,V 170 GE,Sibir,"[""electricity"", ""gas""]",upright_refrigerator,hot,170,55,47,36,image/jpg,E384M.jpg,default,COMPLETE,2016-07-11T16:01:59.051000000,anonymous,,,
M52,,E385M,V 170 EK,Sibir,"[""electricity"", ""kerosene""]",upright_refrigerator,hot,170,55,47,36,image/jpg,E385M.jpg,default,COMPLETE,2016-07-11T16:01:59.016000000,anonymous,,,
M53,,E386M,V 110 GE,Sibir,"[""electricity"", ""gas""]",upright_refrigerator,hot,110,17,15,0,image/jpg,E386M.jpg,default,COMPLETE,2016-07-11T16:01:59.017000000,anonymous,,,
M54,,E387M,V 110 EK,Sibir,"[""electricity"", ""kerosene""]",upright_refrigerator,temperate,110,17,15,0,image/jpg,E387M.jpg,default,COMPLETE,2016-07-11T16:01:59.019000000,anonymous,,,
M55,,E388M,RCW 50 EG,Dometic,"[""electricity"", ""gas""]",chest_refrigerator,hot,70,24,0,0,image/jpg,E388M.jpg,default,COMPLETE,2016-07-11T16:01:59.022000000,anonymous,,,
M56,,E389M,PR 245 EK,Zero,"[""electricity"", ""kerosene""]",upright_refrigerator,temperate,107,18,20,0,image/jpg,E389M.jpg,default,COMPLETE,2016-07-11T16:01:59.023000000,anonymous,,,
M57,,E390M,GR 245 G/E,Zero,"[""electricity"", ""gas""]",upright_refrigerator,temperate,107,18,20,0,image/jpg,E390M.jpg,default,COMPLETE,2016-07-11T16:01:59.025000000,anonymous,,,
M58,,E391M,RCW 50 EK,Dometic,"[""electricity"", ""kerosene""]",chest_refrigerator,hot,70,24,2.4,0,image/jpg,E391M.jpg,default,COMPLETE,2016-07-11T16:01:59.027000000,anonymous,,,
M59,,E392M,Model 120-30,Norcoast,"[""solar""]",solar_photovoltaic_refrigerator,hot,120,63,30,0,image/jpg,E392M.jpg,default,COMPLETE,2016-07-11T16:01:59.029000000,anonymous,,,
M60,,E393M,RCW 50DC,Dometic,"[""solar""]",solar_photovoltaic_refrigerator,hot,70,24,9,0,image/jpg,E393M.jpg,default,COMPLETE,2016-07-11T16:01:59.031000000,anonymous,,,
M61,,E394M,RCW 50 AC,Dometic,"[""electricity""]",chest_refrigerator,hot,70,24,9,0,image/jpg,E394M.jpg,default,COMPLETE,2016-07-11T16:01:59.033000000,anonymous,,,
M62,,E395M,PF 230 IP KE,Zero,"[""electricity"", ""kerosene""]",chest_freezer,hot,0,0,230,144,image/jpg,E395M.jpg,default,COMPLETE,2016-07-11T16:01:59.035000000,anonymous,,,
M63,,E396M,MF 114,Vestfrost,"[""electricity""]",chest_freezer,hot,0,0,111,72,image/jpg,E396M.jpg,default,COMPLETE,2016-07-11T16:01:59.040000000,anonymous,,,
M64,,E397M,MF 214,Vestfrost,"[""electricity""]",chest_freezer,hot,0,0,213,192,image/jpg,E397M.jpg,default,COMPLETE,2016-07-11T16:01:59.042000000,anonymous,,,
M65,,E398M,MF 314,Vestfrost,"[""electricity""]",chest_freezer,hot,0,0,323,264,image/jpg,E398M.jpg,default,COMPLETE,2016-07-11T16:01:59.044000000,anonymous,,,
M66,,E399M,FCW 300,Dometic,"[""electricity""]",chest_freezer,hot,0,0,300,264,image/jpg,E399M.jpg,default,COMPLETE,2016-07-11T16:01:59.047000000,anonymous,,,
M67,,E999,C320,Defy South Africa,"[""electricity""]",chest_freezer,temperate,0,0,308,0,image/jpg,E999.jpg,default,COMPLETE,2016-07-11T16:01:59.049000000,anonymous,,,
M68,,U001,DOMESTIC KEROSENE,UNKNOWN,"[""kerosene""]",upright_refrigerator,temperate,0,0,0,0,image/jpg,U001.jpg,default,COMPLETE,2016-07-11T16:01:59.051000000,anonymous,,,
M1,,B001,HF506,Vestfrost,"[""electricity""]",chest_freezer,temperate,0,0,464,0,image/jpg,B001.jpg,default,COMPLETE,2016-07-11T16:01:59.016000000,anonymous,,,
M2,,B002,SJ-K170T,SHARP,"[""electricity""]",upright_refrigerator,temperate,160,40,0,0,image/jpg,B002.jpg,default,COMPLETE,2016-07-11T16:01:59.017000000,anonymous,,,
M3,,B003,FRV 200 Freezer,SHARP,"[""electricity""]",chest_freezer,temperate,0,0,195,0,image/jpg,B003.jpg,default,COMPLETE,2016-07-11T16:01:59.019000000,anonymous,,,
M4,,B004,SB 202,Vestfrost,"[""electricity""]",chest_freezer,hot,0,0,210,190,image/jpg,B004.jpg,default,COMPLETE,2016-07-11T16:01:59.022000000,anonymous,,,
M7,,E003003,HBD-286,Haier,"[""electricity""]",chest_freezer,hot,0,0,298,224,image/jpg,E003003.jpg,default,COMPLETE,2016-07-11T16:01:59.027000000,anonymous,,,
M9,,E003005,HBC-70,Haier,"[""electricity""]",ice_lined_refrigerator,hot,71,45,0,0,image/jpg,E003005.jpg,default,COMPLETE,2016-07-11T16:01:59.031000000,anonymous,,,
M16,,E003012,MK 404,Vestfrost,"[""electricity""]",ice_lined_refrigerator,hot,240,135,0,0,image/jpg,E003012.jpg,default,COMPLETE,2016-07-11T16:01:59.049000000,anonymous,,,
M25,,E3102M,GR 265 EK,Zero,"[""electricity"", ""kerosene""]",ice_pack_freezer,hot,0,0,215,16,image/jpg,E3102M.jpg,default,COMPLETE,2016-07-11T16:01:59.029000000,anonymous,,,
M27,,E3104M,VaccPack XL 2100,Kyocera Solar,"[""solar""]",solar_photovoltaic_refrigerator,hot,39,21,22,0,image/jpg,E3104M.jpg,default,COMPLETE,2016-07-11T16:01:59.033000000,anonymous,,,
M33,,E3110M,DOVLINE,PT. Dilihan Glory,"[""electricity""]",chest_refrigerator,temperate,42,16,0,0,image/jpg,E3110M.jpg,default,COMPLETE,2016-07-11T16:01:59.049000000,anonymous,,,
M38,,E330M,RCW 42AC,Dometic,"[""electricity""]",chest_refrigerator,hot,36,12,0,0,image/jpg,E330M.jpg,default,COMPLETE,2016-07-11T16:01:59.022000000,anonymous,,,
M45,,E370M,CFS49 ISI,Fortum AES,"[""solar""]",solar_photovoltaic_refrigerator,hot,49,20,7.3,0,image/jpg,E370M.jpg,default,COMPLETE,2016-07-11T16:01:59.035000000,anonymous,,,
M48,,E377M,RFVB-134a,Sun Frost,"[""solar""]",solar_photovoltaic_refrigerator,hot,56.8,38.7,32.5,0,image/jpg,E377M.jpg,default,COMPLETE,2016-07-11T16:01:59.044000000,anonymous,,,
M50,,E383,TBP VR 50,TATA BP Solar,"[""solar""]",solar_photovoltaic_refrigerator,hot,40,18,5,0,image/jpg,E383.jpg,default,COMPLETE,2016-07-11T16:01:59.049000000,anonymous,,,
