_id,_form_id,facility_id,facility_name,admin_region,Location_accuracy,Location_altitude,Location_latitude,Location_longitude,facility_type,facility_ownership,facility_population,facility_coverage,storage_type,delivery_type,electricity_source,grid_power_availability,gas_availability,kerosene_availability,solar_suitable_climate,solar_suitable_site,climate_zone,vaccine_supply_interval,vaccine_reserve_stock_requirement,vaccine_supply_mode,distance_to_supply,contact_name,_locale,_savepoint_type,_savepoint_timestamp,_savepoint_creator,_row_etag,_filter_type,_filter_value
17,,1000-0016,Dzoole,Dowa,,,-13.58541377,33.66168923,community_hospital,public,44618,100,delivery,both,none,none,not_available,irregular,yes,yes,temperate,4,1,delivered,53,MOREEN CHIRWA,default,COMPLETE,2016-07-11T16:01:59.051000000,anonymous,,,
18,,1000-0017,Mponera Rural Hospital,Dowa,,,-13.53277885,33.7370708,district_hospital,public,55672,10,delivery,both,grid,more_than_16,not_available,not_available,yes,yes,temperate,4,1,both,38,HERBERT MAGOMBO,default,COMPLETE,2016-07-11T16:01:59.016000000,anonymous,,,
19,,1000-0018,Mtengowanthenga,Dowa,,,-13.67128647,33.77589939,hospital,faithbased,50553,10,delivery,both,grid,more_than_16,not_available,not_available,yes,yes,temperate,4,1,collected,17,DAVID KANYERERE,default,COMPLETE,2016-07-11T16:01:59.017000000,anonymous,,,
20,,1000-0019,Dzaleka,Dowa,,,-13.66138864,33.8704702,community_hospital,public,38723,100,delivery,both,grid,more_than_16,not_available,not_available,yes,yes,temperate,4,1,collected,7,SARA MAHWAYO,default,COMPLETE,2016-07-11T16:01:59.019000000,anonymous,,,
21,,1000-0020,Chezi,Dowa,,,-13.7256062,34.03737451,community_hospital,private,27925,100,delivery,both,grid,more_than_16,not_available,not_available,yes,yes,temperate,4,1,both,15,BRIGHT KAJAWA,default,COMPLETE,2016-07-11T16:01:59.022000000,anonymous,,,
22,,1000-0021,Chankhungu,Dowa,,,-13.76494694,34.01472016,community_hospital,public,18403,100,delivery,both,none,none,not_available,unknown,yes,yes,temperate,4,1,delivered,25,KENUS MKANDA,default,COMPLETE,2016-07-11T16:01:59.023000000,anonymous,,,
23,,1000-0022,Thonje,Dowa,,,-13.72634946,34.23719945,community_hospital,public,18527,100,delivery,both,none,none,not_available,irregular,yes,yes,temperate,4,1,delivered,50,AMOS CHIMZINDA,default,COMPLETE,2016-07-11T16:01:59.025000000,anonymous,,,
24,,1000-0023,Mvera Army,Dowa,,,-13.77889882,34.14027255,health_center,public,11315,100,delivery,both,grid,more_than_16,not_available,not_available,yes,yes,temperate,4,1,both,36,CHIKAYIKO BANDA,default,COMPLETE,2016-07-11T16:01:59.027000000,anonymous,,,
25,,1000-0024,Mvera Mission,Dowa,,,-13.73669867,34.12819378,community_hospital,faithbased,17954,100,delivery,both,grid,more_than_16,not_available,not_available,yes,yes,temperate,4,1,delivered,38,CONNEX MAKIYI,default,COMPLETE,2016-07-11T16:01:59.029000000,anonymous,,,
26,,1000-0025,Nalunga,Dowa,,,-13.64052823,34.06374614,community_hospital,public,11667,100,delivery,both,none,none,not_available,unknown,yes,yes,temperate,4,1,delivered,22,ALICK KAMTEPA,default,COMPLETE,2016-07-11T16:01:59.031000000,anonymous,,,
27,,1000-0026,Mwangala,Dowa,,,-13.48742423,33.92341279,community_hospital,public,8211,100,delivery,both,grid,more_than_16,not_available,not_available,yes,yes,temperate,4,1,delivered,27,JUSTICE YONA,default,COMPLETE,2016-07-11T16:01:59.033000000,anonymous,,,
28,,1001-0000,Nkhamenya,Kasungu,,,-12.56333503,33.50028963,hospital,faithbased,42451,10,delivery,both,grid,fewer_than_4,not_available,not_available,yes,yes,temperate,4,1,delivered,64,S. MWALE,default,COMPLETE,2016-07-11T16:01:59.035000000,anonymous,,,
29,,1001-0001,Kamdidi Health Post,Kasungu,,,-12.50852142,33.45239007,dispensary,public,5702,100,delivery,both,none,none,not_available,irregular,yes,yes,temperate,4,1,delivered,14,H.MPHANDE,default,COMPLETE,2016-07-11T16:01:59.040000000,anonymous,,,
30,,1001-0002,Thupa,Kasungu,,,-12.6798671,33.39308544,dispensary,public,8640,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,delivered,20,S.MTENGAVUMBA,default,COMPLETE,2016-07-11T16:01:59.042000000,anonymous,,,
31,,1001-0003,Mpepa,Kasungu,,,-12.61939789,33.32611829,health_center,public,14127,100,delivery,both,none,none,not_available,irregular,yes,yes,temperate,4,1,delivered,75,E. PHIRI,default,COMPLETE,2016-07-11T16:01:59.044000000,anonymous,,,
32,,1001-0004,Newa,Kasungu,,,-12.58060396,33.38097503,community_hospital,faithbased,5601,100,delivery,both,none,none,not_available,not_available,yes,yes,temperate,4,1,delivered,72,V. KAKWESA,default,COMPLETE,2016-07-11T16:01:59.047000000,anonymous,,,
33,,1001-0005,Kaluluma,Kasungu,,,-12.57830322,33.5179848,district_hospital,public,32645,10,delivery,both,grid,fewer_than_4,not_available,not_available,yes,yes,temperate,4,1,delivered,62,R. MTONGA,default,COMPLETE,2016-07-11T16:01:59.049000000,anonymous,,,
34,,1001-0006,Chatoloma,Kasungu,,,-12.69776859,33.48764752,dispensary,public,10793,100,delivery,both,none,none,not_available,irregular,yes,yes,temperate,4,1,delivered,44,G. KACHALE,default,COMPLETE,2016-07-11T16:01:59.051000000,anonymous,,,
35,,1001-0007,Simulemba,Kasungu,,,-12.73809216,33.67576035,community_hospital,public,29400,100,delivery,both,none,none,not_available,not_available,yes,yes,temperate,4,1,delivered,69,C. MENDE,default,COMPLETE,2016-07-11T16:01:59.016000000,anonymous,,,
36,,1001-0008,Manjondo,Kasungu,,,-12.7314933,33.76789998,dispensary,public,4295,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,delivered,86,J.M.G. SAKA,default,COMPLETE,2016-07-11T16:01:59.017000000,anonymous,,,
37,,1001-0009,Offesi,Kasungu,,,-12.77665515,33.54811626,health_center,public,14140,100,delivery,both,none,none,available,unknown,yes,yes,temperate,4,1,delivered,57,H. KAUNDA,default,COMPLETE,2016-07-11T16:01:59.019000000,anonymous,,,
38,,1001-0010,Chulu,Kasungu,,,-12.81918446,33.30735404,community_hospital,public,35249,100,delivery,both,grid,fewer_than_4,not_available,not_available,yes,yes,temperate,4,1,delivered,46,C.CHUNDA,default,COMPLETE,2016-07-11T16:01:59.022000000,anonymous,,,
39,,1001-0011,Mphomwa,Kasungu,,,-12.81121204,33.43357356,dispensary,public,4786,100,delivery,both,grid,more_than_16,not_available,not_available,yes,yes,temperate,4,1,delivered,30,F. SATHEKA,default,COMPLETE,2016-07-11T16:01:59.023000000,anonymous,,,
40,,1001-0012,Dwangwa,Kasungu,,,-12.87865475,33.45312758,health_center,public,21669,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,delivered,15,S.W. BANDA,default,COMPLETE,2016-07-11T16:01:59.025000000,anonymous,,,
41,,1001-0013,Estate 81,Kasungu,,,-12.92059948,33.44467606,community_hospital,private,7065,100,delivery,both,grid,fewer_than_4,not_available,not_available,yes,yes,temperate,4,1,collected,15,A. ZEPHANIA,default,COMPLETE,2016-07-11T16:01:59.027000000,anonymous,,,
42,,1001-0014,Gogode,Kasungu,,,-12.88508422,33.56048058,health_center,public,16242,100,delivery,both,grid,fewer_than_4,not_available,not_available,yes,yes,temperate,4,1,delivered,26,K. BANDA,default,COMPLETE,2016-07-11T16:01:59.029000000,anonymous,,,
43,,1001-0015,Santhe,Kasungu,,,-13.46437403,33.39304503,community_hospital,public,32471,100,delivery,both,grid,fewer_than_4,not_available,not_available,yes,yes,temperate,4,1,delivered,52,G.MOYO,default,COMPLETE,2016-07-11T16:01:59.031000000,anonymous,,,
44,,1001-0016,Mkhota,Kasungu,,,-13.56383076,33.34258566,community_hospital,public,22980,100,delivery,both,grid,fewer_than_4,not_available,not_available,yes,yes,temperate,4,1,delivered,75,E.GAUSI,default,COMPLETE,2016-07-11T16:01:59.033000000,anonymous,,,
45,,1001-0017,Khola,Kasungu,,,-13.34172455,33.31578636,community_hospital,public,37487,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,delivered,74,G. NYIRENDA,default,COMPLETE,2016-07-11T16:01:59.035000000,anonymous,,,
46,,1001-0018,Chizinga,Kasungu,,,-13.41080825,33.39284695,community_hospital,private,4730,100,delivery,both,grid,fewer_than_4,not_available,not_available,yes,yes,temperate,4,1,delivered,52,A. MWALE,default,COMPLETE,2016-07-11T16:01:59.040000000,anonymous,,,
47,,1001-0019,Kawamba,Kasungu,,,-13.29300216,33.33851797,community_hospital,public,24310,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,delivered,43,W. CHIMPHAKO,default,COMPLETE,2016-07-11T16:01:59.042000000,anonymous,,,
48,,1001-0020,Kamboni,Kasungu,,,-13.30491799,33.18127997,community_hospital,public,27298,100,delivery,both,none,none,irregular,not_available,yes,yes,temperate,4,1,delivered,57,C. CHAPO,default,COMPLETE,2016-07-11T16:01:59.044000000,anonymous,,,
49,,1001-0021,Linyangwa,Kasungu,,,-13.14115583,33.29960271,community_hospital,public,24051,100,delivery,both,none,none,available,available,yes,yes,temperate,4,1,delivered,40,S. KAZEMBE,default,COMPLETE,2016-07-11T16:01:59.047000000,anonymous,,,
50,,1001-0022,Mziza,Kasungu,,,-13.27674257,33.50348406,community_hospital,faithbased,16919,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,delivered,25,P. CHALUNGAMA,default,COMPLETE,2016-07-11T16:01:59.049000000,anonymous,,,
51,,1001-0023,Bua,Kasungu,,,-13.29129371,33.53774675,community_hospital,public,30809,100,delivery,both,grid,fewer_than_4,not_available,not_available,yes,yes,temperate,4,1,delivered,78.4,A. MPINGANJIRA,default,COMPLETE,2016-07-11T16:01:59.051000000,anonymous,,,
52,,1001-0024,Mdunga,Kasungu,,,-12.99033477,33.85112687,community_hospital,public,17846,100,delivery,both,none,none,not_available,irregular,yes,yes,temperate,4,1,delivered,57,K. NYASULU,default,COMPLETE,2016-07-11T16:01:59.016000000,anonymous,,,
53,,1001-0025,Kapelura,Kasungu,,,-12.87499752,33.87018185,community_hospital,public,22963,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,delivered,72,J. GOMANI,default,COMPLETE,2016-07-11T16:01:59.017000000,anonymous,,,
54,,1001-0026,Kapichila Health Post,Kasungu,,,-12.89717138,33.9347757,dispensary,public,9366,100,delivery,both,none,none,not_available,irregular,yes,yes,temperate,4,1,both,20,A. DANIEL,default,COMPLETE,2016-07-11T16:01:59.019000000,anonymous,,,
55,,1001-0027,Kapyanga,Kasungu,,,-12.8212324,33.78763154,dispensary,public,15366,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,delivered,43,J. BANDA,default,COMPLETE,2016-07-11T16:01:59.022000000,anonymous,,,
56,,1001-0028,Kasiya,Kasungu,,,-12.82444321,33.72768337,dispensary,public,4334,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,delivered,100,P. MASIGALE,default,COMPLETE,2016-07-11T16:01:59.023000000,anonymous,,,
57,,1001-0029,Livwezi,Kasungu,,,-12.89081849,33.67836124,dispensary,public,15232,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,delivered,54,E. NGWATA,default,COMPLETE,2016-07-11T16:01:59.025000000,anonymous,,,
58,,1001-0030,Estate 17,Kasungu,,,-12.94964751,33.70208409,community_hospital,private,2584,100,delivery,both,grid,fewer_than_4,not_available,not_available,yes,yes,temperate,4,1,both,6,J. MWALE,default,COMPLETE,2016-07-11T16:01:59.027000000,anonymous,,,
59,,1001-0031,St Andrews,Kasungu,,,-13.03016048,33.67058628,hospital,faithbased,960,10,delivery,static,grid,fewer_than_4,not_available,not_available,yes,yes,temperate,4,1,collected,3,J.CHANGAYA PHIRI,default,COMPLETE,2016-07-11T16:01:59.029000000,anonymous,,,
60,,1001-0032,Mtunthama,Kasungu,,,-13.02878469,33.68151994,community_hospital,public,35646,100,delivery,both,grid,fewer_than_4,not_available,not_available,yes,yes,temperate,4,1,delivered,21,L. BANDA,default,COMPLETE,2016-07-11T16:01:59.031000000,anonymous,,,
61,,1001-0033,Chamwabvi,Kasungu,,,-13.10486527,33.68477289,community_hospital,public,27418,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,delivered,35,MR W. KAWELAMA,default,COMPLETE,2016-07-11T16:01:59.033000000,anonymous,,,
62,,1001-0034,Mitula Health Post,Kasungu,,,-13.13760378,33.73174107,dispensary,public,2476,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,delivered,42,G.C. PHIRI,default,COMPLETE,2016-07-11T16:01:59.035000000,anonymous,,,
63,,1001-0035,Lojwa,Kasungu,,,-12.41617375,33.52864712,health_center,public,7173,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,delivered,78,M. NHEMA,default,COMPLETE,2016-07-11T16:01:59.040000000,anonymous,,,
64,,1001-0036,Kasungu District Hospital,Kasungu,,,-13.0328448,33.47964447,central_hospital,public,106967,10,delivery,both,grid,fewer_than_4,not_available,not_available,yes,yes,temperate,1,1,both,0,B. FEZA,default,COMPLETE,2016-07-11T16:01:59.042000000,anonymous,,,
65,,1001-0037,Wimbe,Kasungu,,,-12.98829018,33.68641613,community_hospital,public,65980,100,delivery,both,grid,more_than_16,not_available,not_available,yes,yes,temperate,4,1,delivered,32,J.BANDA,default,COMPLETE,2016-07-11T16:01:59.044000000,anonymous,,,
66,,1001-0038,Chamama,Kasungu,,,-12.92192269,33.77613774,dispensary,public,19919,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,delivered,51,J.A. KALUWA,default,COMPLETE,2016-07-11T16:01:59.047000000,anonymous,,,
67,,1001-0039,Kasungu District Vaccine Store,Kasungu,,,-13.0328448,33.47964447,regional_vaccine_store,public,707861,100,depot,none,grid,more_than_16,not_available,available,yes,yes,temperate,4,1,both,124,W.E. KAZONDE,default,COMPLETE,2016-07-11T16:01:59.049000000,anonymous,,,
68,,1002-0000,Mtosa Heath Centre,Nkhotakota,,,-13.43591038,34.273008,community_hospital,public,13250,100,delivery,both,none,none,not_available,not_available,yes,yes,temperate,4,1,both,50,MARY MWALE,default,COMPLETE,2016-07-11T16:01:59.051000000,anonymous,,,
69,,1002-0001,Alinafe Community Hospita,Nkhotakota,,,-13.38528622,31.74916158,hospital,faithbased,22112,10,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,both,62,PETROS MUSSA,default,COMPLETE,2016-07-11T16:01:59.016000000,anonymous,,,
70,,1002-0002,Benga Health Centre,Nkhotakota,,,-13.36571882,34.27334051,community_hospital,public,16934,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,both,40,EBINAZIEL KANDOMO,default,COMPLETE,2016-07-11T16:01:59.017000000,anonymous,,,
71,,1002-0003,Mwansambo Health Centre,Nkhotakota,,,-13.30430542,34.1179728,community_hospital,public,25467,100,delivery,both,grid,more_than_16,not_available,not_available,yes,yes,temperate,4,1,delivered,56,ENEA MFIPA,default,COMPLETE,2016-07-11T16:01:59.019000000,anonymous,,,
72,,1002-0004,Malowa Health Centre,Nkhotakota,,,-13.17911055,31.75924039,community_hospital,public,15491,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,delivered,64,MARIA KAUCHI,default,COMPLETE,2016-07-11T16:01:59.022000000,anonymous,,,
73,,1002-0005,Kapiri Health Centre,Nkhotakota,,,-13.21344187,34.31067402,community_hospital,faithbased,31599,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,delivered,40,ELIZABETH HARAWA,default,COMPLETE,2016-07-11T16:01:59.023000000,anonymous,,,
74,,1002-0006,Chididi Health Centre,Nkhotakota,,,-13.08307929,34.31401211,community_hospital,faithbased,13884,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,delivered,22,PHILLIP CHIMSANGO,default,COMPLETE,2016-07-11T16:01:59.025000000,anonymous,,,
75,,1002-0007,Mpamantha Dispensary,Nkhotakota,,,-13.06656508,34.25151055,health_center,public,16555,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,both,28,VICTOR SANI,default,COMPLETE,2016-07-11T16:01:59.027000000,anonymous,,,
76,,1002-0008,St Annes Mission Hospital,Nkhotakota,,,-12.92433117,34.29508456,rural_hospital,faithbased,6271,10,delivery,both,grid,more_than_16,not_available,not_available,yes,yes,temperate,4,1,collected,1,PATRICK JUMA BANDA,default,COMPLETE,2016-07-11T16:01:59.029000000,anonymous,,,
77,,1002-0009,Bua Health Centre,Nkhotakota,,,-12.7939031,34.20892824,community_hospital,public,13577,100,delivery,both,grid,more_than_16,not_available,not_available,yes,yes,temperate,4,1,delivered,35,ISAAC CHANAICHI KUMWENDA,default,COMPLETE,2016-07-11T16:01:59.031000000,anonymous,,,
78,,1002-0010,Msenjere Health Centre,Nkhotakota,,,-12.72982377,34.16986866,community_hospital,public,14862,100,delivery,both,none,none,available,available,yes,yes,temperate,4,1,delivered,15,RUTH NKHOMA,default,COMPLETE,2016-07-11T16:01:59.033000000,anonymous,,,
79,,1002-0011,Katimbira Health Centre,Nkhotakota,,,-12.75436667,34.21679968,community_hospital,public,10457,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,delivered,39,AUSTIN A B MAFIAL,default,COMPLETE,2016-07-11T16:01:59.035000000,anonymous,,,
80,,1002-0012,Liwaladzi Health Cente,Nkhotakota,,,-12.61775365,34.16460713,community_hospital,public,15523,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,delivered,30,FLORENCE CHIMA,default,COMPLETE,2016-07-11T16:01:59.040000000,anonymous,,,
81,,1002-0013,Dwambadzi Rural Hospital,Nkhotakota,,,-12.23132593,33.99118916,district_hospital,public,15177,10,delivery,both,grid,more_than_16,irregular,unknown,yes,yes,temperate,4,1,delivered,117,PATRICK CHIMBUTO,default,COMPLETE,2016-07-11T16:01:59.042000000,anonymous,,,
82,,1002-0014,Kasitu Cham Health Centre,Nkhotakota,,,-12.30666065,34.03350301,community_hospital,faithbased,11478,100,delivery,both,none,none,unknown,unknown,no,yes,temperate,4,1,delivered,14,LEMIE NKHOSA,default,COMPLETE,2016-07-11T16:01:59.044000000,anonymous,,,
83,,1002-0015,Ngala Health Centre,Nkhotakota,,,-12.3625362,34.06475357,community_hospital,public,15314,100,delivery,both,grid,more_than_16,not_available,unknown,yes,yes,temperate,4,1,delivered,78,ANTHONY KAPANDA,default,COMPLETE,2016-07-11T16:01:59.047000000,anonymous,,,
84,,1002-0016,Kaongozi Health Centre,Nkhotakota,,,-12.43371003,34.04916381,community_hospital,public,10709,100,delivery,both,grid,more_than_16,not_available,not_available,yes,yes,temperate,4,1,delivered,70,FELIX KAMBONA,default,COMPLETE,2016-07-11T16:01:59.049000000,anonymous,,,
85,,1002-0017,Nkhunga Health Centre,Nkhotakota,,,-12.47746415,34.10765697,community_hospital,public,29519,100,delivery,both,grid,more_than_16,not_available,unknown,yes,yes,temperate,4,1,delivered,65,WILMOT CHIBWAIRA,default,COMPLETE,2016-07-11T16:01:59.051000000,anonymous,,,
86,,1002-0018,Matiki Health Centre Dwangwa,Nkhotakota,,,-12.49605746,34.15411276,community_hospital,public,19762,100,delivery,static,grid,more_than_16,not_available,unknown,yes,yes,temperate,4,1,collected,60,F CHIDZAYE,default,COMPLETE,2016-07-11T16:01:59.016000000,anonymous,,,
87,,1002-0019,Lupachi Health Post,Nkhotakota,,,-12.3159053,33.77883822,dispensary,public,8195,100,delivery,both,none,none,irregular,available,yes,yes,temperate,12,3,delivered,260,PRECIOUS RABSON,default,COMPLETE,2016-07-11T16:01:59.017000000,anonymous,,,
88,,1002-0020,Nkhotakota District Hospital,Nkhotakota,,,-12.92174145,34.2775597,central_hospital,public,67405,10,delivery,both,grid,more_than_16,unknown,unknown,yes,yes,temperate,4,1,collected,0.01,MICHEAL E G LOJANI,default,COMPLETE,2016-07-11T16:01:59.019000000,anonymous,,,
89,,1002-0021,Dwangwa Cane Growers Clinic,Nkhotakota,,,-12.51849533,34.11839626,community_hospital,private,7582,100,delivery,both,grid,more_than_16,not_available,not_available,yes,yes,temperate,4,1,both,60,SYMON L. CHIMNDOZI,default,COMPLETE,2016-07-11T16:01:59.022000000,anonymous,,,
90,,1002-0022,Nkhotakota District Hospital Vaccine Store,Nkhotakota,,,-12.92174145,34.2775597,regional_vaccine_store,public,334856,100,depot,none,grid,more_than_16,not_available,not_available,yes,yes,temperate,4,1,collected,207,MICHEAL EC LOJANI,default,COMPLETE,2016-07-11T16:01:59.023000000,anonymous,,,
91,,1003-0000,Ntchisi District Hospital,Ntchisi,,,-13.36066671,33.91026851,central_hospital,public,46527,10,delivery,both,grid,fewer_than_4,not_available,not_available,yes,yes,temperate,4,1,both,0,E . MAUNDA,default,COMPLETE,2016-07-11T16:01:59.025000000,anonymous,,,
92,,1003-0001,Ntchisi District Vaccine Store,Ntchisi,,,-13.36066671,33.91026851,regional_vaccine_store,public,244878,100,depot,none,grid,more_than_16,not_available,not_available,yes,yes,temperate,4,1,collected,97,CHINSINGA,default,COMPLETE,2016-07-11T16:01:59.027000000,anonymous,,,
93,,1003-0002,Sambakusi Health Centre,Ntchisi,,,-13.34697972,33.98244117,community_hospital,public,3500,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,delivered,16,B CHABWERA,default,COMPLETE,2016-07-11T16:01:59.029000000,anonymous,,,
94,,1003-0003,Malomo Health Centre,Ntchisi,,,-13.14585819,33.8385958,community_hospital,public,42794,100,delivery,both,grid,fewer_than_4,not_available,not_available,yes,yes,temperate,4,1,delivered,40,G. KATERA,default,COMPLETE,2016-07-11T16:01:59.031000000,anonymous,,,
95,,1003-0004,Chinguluwe Health Centre,Ntchisi,,,-13.25855497,33.86801893,community_hospital,public,22039,100,delivery,both,none,none,not_available,irregular,yes,yes,temperate,4,1,both,15,E. JELEAM,default,COMPLETE,2016-07-11T16:01:59.033000000,anonymous,,,
96,,1003-0005,Mzandu Health Centre,Ntchisi,,,-13.48644348,34.0269194,community_hospital,public,17141,100,delivery,both,none,none,not_available,irregular,yes,yes,temperate,4,1,both,35,J. K. BANDA,default,COMPLETE,2016-07-11T16:01:59.035000000,anonymous,,,
97,,1003-0006,Chinthembwe Health Centre,Ntchisi,,,-13.43066889,33.97458784,community_hospital,faithbased,12444,100,delivery,both,grid,fewer_than_4,not_available,not_available,yes,yes,temperate,4,1,delivered,60,J. MCHERE,default,COMPLETE,2016-07-11T16:01:59.040000000,anonymous,,,
98,,1003-0007,Kangolwa Health Centre,Ntchisi,,,-13.36767408,34.06968487,community_hospital,public,15095,100,delivery,both,none,none,irregular,not_available,yes,yes,temperate,4,1,both,42,M. BANDA,default,COMPLETE,2016-07-11T16:01:59.042000000,anonymous,,,
99,,1003-0008,Nthondo Health Centre,Ntchisi,,,-13.24439649,34.00578476,community_hospital,public,19590,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,delivered,72,M. KASALIKA,default,COMPLETE,2016-07-11T16:01:59.044000000,anonymous,,,
