_conflict_type,_default_access,_form_id,_group_modify,_group_privileged,_group_read_only,_id,_locale,_row_etag,_row_owner,_savepoint_creator,_savepoint_timestamp,_savepoint_type,_sync_state,facility_row_id,functional_status,maintenance_priority,model_row_id,power_source,reason_not_working,refrigerator_id,tracking_id,utilization,voltage_regulator,year_installed
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R16,default,uuid:11c900d1-07d6-4087-8719-dcfa9977c936,,anonymous,2016-07-11T16:01:59.049000000,COMPLETE,new_row,H445,functioning,not_applicable,M52,unknown,"[""not_applicable""]",R16,22400073,installed_in_use,unknown,2011
,HIDDEN,,GROUP_REGION_CENTRAL_EAST,GROUP_ADMIN,GROUP_REGION_CENTRAL,R1067,default,uuid:2b319b10-2e47-4871-8d8b-c5277c716725,,anonymous,2016-07-11T16:01:59.017000000,COMPLETE,new_row,H71,functioning,not_applicable,M34,electricity,"[""not_applicable""]",R1067,9431957,installed_in_use,unknown,2016
,HIDDEN,,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,R13,default,uuid:a63f8b45-ad49-4173-a109-cac4a0e5a39b,,anonymous,2016-07-11T16:01:59.042000000,COMPLETE,new_row,H742,functioning,not_applicable,M11,electricity,"[""not_applicable""]",R13,20011901984,installed_in_use,unknown,2006
,HIDDEN,,GROUP_REGION_CENTRAL_EAST,GROUP_ADMIN,GROUP_REGION_CENTRAL,R1066,default,uuid:3f4bf281-d591-4bd7-9eae-801b4f404e45,,anonymous,2016-07-11T16:01:59.016000000,COMPLETE,new_row,H71,functioning,not_applicable,M11,electricity,"[""not_applicable""]",R1066,20011902058,installed_in_use,unknown,2011
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R14,default,uuid:7d84aefe-06cd-4c5b-bda2-dd50ef9daee8,,anonymous,2016-07-11T16:01:59.044000000,COMPLETE,new_row,H443,functioning,not_applicable,M18,electricity,"[""not_applicable""]",R14,20011902016,installed_in_use,unknown,2004
,HIDDEN,,GROUP_REGION_CENTRAL_EAST,GROUP_ADMIN,GROUP_REGION_CENTRAL,R1065,default,uuid:ac0beafc-dda4-42f0-be9f-f5dae5db5a20,,anonymous,2016-07-11T16:01:59.051000000,COMPLETE,new_row,H70,not_functioning,not_applicable,M44,solar,"[""not_applicable""]",R1065,,installed_in_use,unknown,2013
,HIDDEN,,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,R11,default,uuid:a6c83746-e14b-4115-be4a-591d0dfc294a,,anonymous,2016-07-11T16:01:59.035000000,COMPLETE,new_row,H742,not_functioning,medium,M67,electricity,"[""needs_spare_parts""]",R11,98270183,not_installed_waiting_for_installation,unknown,2004
,HIDDEN,,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,R12,default,uuid:1bf890f9-db8b-441f-a4a4-94919b0910f1,,anonymous,2016-07-11T16:01:59.040000000,COMPLETE,new_row,H742,functioning,not_applicable,M58,unknown,"[""not_applicable""]",R12,2212111,not_installed_waiting_for_installation,unknown,2006
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R879,default,uuid:2cf33039-27e1-4577-a202-e15c2b4eeb5b,,anonymous,2016-07-11T16:01:59.016000000,COMPLETE,new_row,H570,functioning,not_applicable,M51,unknown,"[""not_applicable""]",R879,22500177,installed_in_use,unknown,2012
,HIDDEN,,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,R10,default,uuid:46de4ab3-8839-4efc-a93b-717c932c5771,,anonymous,2016-07-11T16:01:59.033000000,COMPLETE,new_row,H742,not_functioning,medium,M20,electricity,"[""needs_spare_parts""]",R10,91093518,not_installed_waiting_for_installation,unknown,1998
,HIDDEN,,GROUP_REGION_CENTRAL_EAST,GROUP_ADMIN,GROUP_REGION_CENTRAL,R1060,default,uuid:7ee141b0-d27a-4ee4-bba6-7393aec0743a,,anonymous,2016-07-11T16:01:59.040000000,COMPLETE,new_row,H68,functioning,medium,M44,solar,"[""needs_spare_parts""]",R1060,KK007,installed_in_use,unknown,2013
,HIDDEN,,GROUP_REGION_CENTRAL_EAST,GROUP_ADMIN,GROUP_REGION_CENTRAL,R1064,default,uuid:9c8c46dd-6e5f-411c-b00d-f448c8df90b7,,anonymous,2016-07-11T16:01:59.049000000,COMPLETE,new_row,H70,functioning,not_applicable,M55,unknown,"[""not_applicable""]",R1064,9450274,installed_in_use,unknown,2016
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R881,default,uuid:7ec6eb89-cf95-4123-a018-5736c4e62592,,anonymous,2016-07-11T16:01:59.019000000,COMPLETE,new_row,H571,functioning,not_applicable,M11,electricity,"[""not_applicable""]",R881,20011901930,installed_in_use,unknown,2014
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R880,default,uuid:856c90bc-dc03-441e-b693-a56aba6f416c,,anonymous,2016-07-11T16:01:59.017000000,COMPLETE,new_row,H571,functioning,not_applicable,M61,electricity,"[""not_applicable""]",R880,9401235,installed_in_use,unknown,2016
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R886,default,uuid:774a2c0f-da99-485a-ab81-1f6d6b34111c,,anonymous,2016-07-11T16:01:59.029000000,COMPLETE,new_row,H575,not_functioning,high,M49,solar,"[""lack_of_power""]",R886,328A500055,installed_not_in_use,unknown,2009
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R887,default,uuid:2ad7146a-6b37-42d9-8063-06f54fe0871a,,anonymous,2016-07-11T16:01:59.031000000,COMPLETE,new_row,H576,functioning,not_applicable,M55,unknown,"[""not_applicable""]",R887,2212127,installed_in_use,unknown,2016
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R888,default,uuid:8d741b1c-d920-499a-806e-3898fe4d2ffc,,anonymous,2016-07-11T16:01:59.033000000,COMPLETE,new_row,H577,functioning,not_applicable,M51,unknown,"[""not_applicable""]",R888,2000194,installed_in_use,unknown,2008
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R889,default,uuid:d6f654d3-43c3-460f-abe6-ff4b53057dee,,anonymous,2016-07-11T16:01:59.035000000,COMPLETE,new_row,H578,functioning,not_applicable,M34,electricity,"[""not_applicable""]",R889,9411750,installed_in_use,unknown,2017
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R882,default,uuid:17146cd9-dc69-4512-a5da-c6aa0db1fc13,,anonymous,2016-07-11T16:01:59.022000000,COMPLETE,new_row,H572,functioning,not_applicable,M49,solar,"[""not_applicable""]",R882,328A50052,installed_in_use,unknown,2012
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R883,default,uuid:90130029-62fb-432c-b31a-3f9fdc234c55,,anonymous,2016-07-11T16:01:59.023000000,COMPLETE,new_row,H572,not_functioning,not_applicable,M51,unknown,"[""not_applicable""]",R883,61000098,not_installed_waiting_for_installation,unknown,2004
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R884,default,uuid:37f4ce64-05d2-4402-9539-150860ac235e,,anonymous,2016-07-11T16:01:59.025000000,COMPLETE,new_row,H573,functioning,not_applicable,M51,unknown,"[""not_applicable""]",R884,22500039,installed_in_use,unknown,2010
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R885,default,uuid:03e5dc17-c029-4169-81f7-37cf061d7310,,anonymous,2016-07-11T16:01:59.027000000,COMPLETE,new_row,H574,functioning,not_applicable,M55,unknown,"[""not_applicable""]",R885,9406313,installed_in_use,unknown,2016
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R609,default,uuid:149ef4ef-dfa9-457a-b72e-d648d48b5e2a,,anonymous,2016-07-11T16:01:59.044000000,COMPLETE,new_row,H330,functioning,not_applicable,M47,unknown,"[""not_applicable""]",R609,9461030,installed_in_use,unknown,2016
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R608,default,uuid:ff5b9d98-81b4-4119-b20f-90d70d578acf,,anonymous,2016-07-11T16:01:59.042000000,COMPLETE,new_row,H329,functioning,not_applicable,M52,unknown,"[""not_applicable""]",R608,2,installed_in_use,unknown,2014
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R605,default,uuid:a67ceefa-b600-40a7-92ec-1630b8201974,,anonymous,2016-07-11T16:01:59.033000000,COMPLETE,new_row,H327,not_functioning,low,M47,unknown,"[""awaiting_decomissioning""]",R605,9431257,installed_in_use,unknown,2010
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R604,default,uuid:be771bfd-8b8f-44dd-954f-a212cb26def7,,anonymous,2016-07-11T16:01:59.031000000,COMPLETE,new_row,H326,functioning,not_applicable,M47,unknown,"[""not_applicable""]",R604,9401253,installed_in_use,unknown,2015
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R607,default,uuid:ffcf1dc6-0376-4b11-8642-14c61e429a4c,,anonymous,2016-07-11T16:01:59.040000000,COMPLETE,new_row,H328,functioning,not_applicable,M5,solar,"[""not_applicable""]",R607,9431937,installed_in_use,unknown,2016
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R606,default,uuid:d524bce1-b369-45c0-bb31-1330ee5b9838,,anonymous,2016-07-11T16:01:59.035000000,COMPLETE,new_row,H328,functioning,not_applicable,M66,electricity,"[""not_applicable""]",R606,83418941,installed_in_use,unknown,2011
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R890,default,uuid:ea71983c-c25b-4f45-91d3-5a738eb3b315,,anonymous,2016-07-11T16:01:59.040000000,COMPLETE,new_row,H579,functioning,not_applicable,M55,unknown,"[""not_applicable""]",R890,9420814,installed_in_use,unknown,2016
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R601,default,uuid:92a98575-2b5a-404c-aae0-69bef463bd6f,,anonymous,2016-07-11T16:01:59.025000000,COMPLETE,new_row,H323,not_functioning,high,M52,unknown,"[""lack_of_power""]",R601,22400164,installed_not_in_use,unknown,2011
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R600,default,uuid:a5303c66-eee5-4b69-86a1-57f8c2fde484,,anonymous,2016-07-11T16:01:59.023000000,COMPLETE,new_row,H322,functioning,not_applicable,M47,unknown,"[""not_applicable""]",R600,9601221,installed_in_use,unknown,2011
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R892,default,uuid:52022fb6-46b9-4966-84c0-d1f2d933b2cd,,anonymous,2016-07-11T16:01:59.044000000,COMPLETE,new_row,H580,not_functioning,medium,M51,unknown,"[""needs_spare_parts""]",R892,61000152,installed_not_in_use,unknown,1997
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R603,default,uuid:37a2e7a4-2d57-4562-a4b2-30dfb78bcc40,,anonymous,2016-07-11T16:01:59.029000000,COMPLETE,new_row,H325,functioning,not_applicable,M15,electricity,"[""not_applicable""]",R603,20011902002,installed_in_use,unknown,2006
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R891,default,uuid:e64c3e86-ddca-477d-a142-8b602599a68d,,anonymous,2016-07-11T16:01:59.042000000,COMPLETE,new_row,H580,functioning,not_applicable,M55,unknown,"[""not_applicable""]",R891,9410775,installed_in_use,unknown,2017
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R602,default,uuid:5ade9ced-9128-4d31-b481-0abeb67db95f,,anonymous,2016-07-11T16:01:59.027000000,COMPLETE,new_row,H324,functioning,not_applicable,M52,unknown,"[""not_applicable""]",R602,9401221,installed_in_use,unknown,2012
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R895,default,uuid:dbd0ee5f-e321-43c4-b89e-dcb8367e540a,,anonymous,2016-07-11T16:01:59.051000000,COMPLETE,new_row,H582,functioning,not_applicable,M19,electricity,"[""not_applicable""]",R895,1400054,installed_in_use,unknown,2016
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R896,default,uuid:fb4b6a8c-756d-47de-b7a0-0f6bacfc8dcf,,anonymous,2016-07-11T16:01:59.016000000,COMPLETE,new_row,H583,functioning,not_applicable,M19,electricity,"[""not_applicable""]",R896,MJ005,installed_in_use,unknown,2015
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R893,default,uuid:57460845-d89d-4587-ae43-297793dbdc7d,,anonymous,2016-07-11T16:01:59.047000000,COMPLETE,new_row,H580,not_functioning,low,M49,solar,"[""lack_of_tech_availability""]",R893,328A50058,installed_not_in_use,unknown,2011
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R894,default,uuid:ea043613-58a4-4773-b467-b6ccc5777142,,anonymous,2016-07-11T16:01:59.049000000,COMPLETE,new_row,H581,functioning,not_applicable,M55,unknown,"[""not_applicable""]",R894,2212081,installed_in_use,unknown,2011
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R899,default,uuid:6c2dfdaf-fd2e-4dbf-8ca3-9a6e0d5dd2e2,,anonymous,2016-07-11T16:01:59.022000000,COMPLETE,new_row,H584,not_functioning,medium,M31,unknown,"[""needs_spare_parts""]",R899,32951031,installed_not_in_use,unknown,2007
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R897,default,uuid:9df8686e-649f-4269-8560-da594b453bdc,,anonymous,2016-07-11T16:01:59.017000000,COMPLETE,new_row,H583,not_functioning,medium,M49,solar,"[""needs_spare_parts""]",R897,2000119031,installed_not_in_use,unknown,2011
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R898,default,uuid:65db620c-6c36-487b-aa3c-ae2fd541ca2a,,anonymous,2016-07-11T16:01:59.019000000,COMPLETE,new_row,H584,functioning,not_applicable,M58,unknown,"[""not_applicable""]",R898,941077,installed_in_use,unknown,2016
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R618,default,uuid:cbfcc930-57e3-4ccd-a641-601ce407f13d,,anonymous,2016-07-11T16:01:59.025000000,COMPLETE,new_row,H404,functioning,not_applicable,M11,electricity,"[""not_applicable""]",R618,20011901965,installed_in_use,unknown,2010
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R617,default,uuid:cc62d8c2-d9e6-4a6e-b532-64914f9ccb28,,anonymous,2016-07-11T16:01:59.023000000,COMPLETE,new_row,H404,functioning,not_applicable,M8,electricity,"[""not_applicable""]",R617,2205048,installed_in_use,unknown,2011
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R616,default,uuid:e4bae9e8-898c-4a32-be54-579784453280,,anonymous,2016-07-11T16:01:59.022000000,COMPLETE,new_row,H337,functioning,not_applicable,M47,unknown,"[""not_applicable""]",R616,9401306,installed_in_use,unknown,2011
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R615,default,uuid:bb171877-cf3a-4579-b447-ec9f2be35df7,,anonymous,2016-07-11T16:01:59.019000000,COMPLETE,new_row,H336,not_functioning,low,M25,unknown,"[""awaiting_decomissioning""]",R615,3193,installed_in_use,unknown,2001
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R619,default,uuid:3002013c-7a64-41ef-ad53-9cf7606cb233,,anonymous,2016-07-11T16:01:59.027000000,COMPLETE,new_row,H404,functioning,high,M11,electricity,"[""lack_of_power""]",R619,20011901983,installed_not_in_use,unknown,2010
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R610,default,uuid:2b7c7b58-f187-4482-9937-f01b4c1d130d,,anonymous,2016-07-11T16:01:59.047000000,COMPLETE,new_row,H331,not_functioning,medium,M52,unknown,"[""needs_spare_parts""]",R610,50900030,installed_not_in_use,unknown,2011
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R614,default,uuid:96ecb231-ab1b-4d31-8c36-5bac6fd6e6ea,,anonymous,2016-07-11T16:01:59.017000000,COMPLETE,new_row,H335,not_functioning,low,M47,unknown,"[""awaiting_decomissioning""]",R614,9401273,installed_in_use,unknown,2016
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R613,default,uuid:8c5224cc-db51-438e-9160-0e9a36c68cad,,anonymous,2016-07-11T16:01:59.016000000,COMPLETE,new_row,H334,functioning,not_applicable,M49,solar,"[""not_applicable""]",R613,327A50004,installed_in_use,unknown,2013
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R612,default,uuid:aecf7d8f-f47b-4137-82ec-5243cb319a4d,,anonymous,2016-07-11T16:01:59.051000000,COMPLETE,new_row,H333,not_functioning,low,M52,unknown,"[""awaiting_decomissioning""]",R612,22400038,installed_in_use,unknown,2012
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R611,default,uuid:03bf43fe-2e53-444c-8504-0e651f5b67d6,,anonymous,2016-07-11T16:01:59.049000000,COMPLETE,new_row,H332,functioning,not_applicable,M47,unknown,"[""not_applicable""]",R611,9401301,installed_in_use,unknown,2016
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R627,default,uuid:93ecaba4-6af6-4b43-8e5a-00f56d5b55ff,,anonymous,2016-07-11T16:01:59.047000000,COMPLETE,new_row,H468,not_functioning,medium,M25,unknown,"[""needs_spare_parts""]",R627,3257,installed_in_use,unknown,2006
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R626,default,uuid:e4408654-1d9d-4a63-8bd7-61142285d9d3,,anonymous,2016-07-11T16:01:59.044000000,COMPLETE,new_row,H468,functioning,not_applicable,M8,electricity,"[""not_applicable""]",R626,2215085,installed_in_use,unknown,2007
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R629,default,uuid:3243828f-9a16-4e09-acc1-e12e59841be1,,anonymous,2016-07-11T16:01:59.051000000,COMPLETE,new_row,H468,functioning,not_applicable,M58,unknown,"[""not_applicable""]",R629,9420756,installed_in_use,unknown,2016
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R628,default,uuid:ff872aca-4f68-4c30-b743-3c57eff82f1c,,anonymous,2016-07-11T16:01:59.049000000,COMPLETE,new_row,H468,functioning,not_applicable,M11,electricity,"[""not_applicable""]",R628,2.00E+11,installed_in_use,unknown,2009
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R621,default,uuid:9d6c7062-d703-40dd-b66e-e4b5b5d76b15,,anonymous,2016-07-11T16:01:59.031000000,COMPLETE,new_row,H404,functioning,not_applicable,M11,electricity,"[""not_applicable""]",R621,20011901940,installed_in_use,unknown,2010
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R620,default,uuid:2c4f1bfb-79d3-4a1a-8855-f9509ba7d840,,anonymous,2016-07-11T16:01:59.029000000,COMPLETE,new_row,H404,functioning,not_applicable,M8,electricity,"[""not_applicable""]",R620,2205037,installed_in_use,unknown,2011
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R623,default,uuid:fae48b27-3b73-43a5-a9dd-036454d95f35,,anonymous,2016-07-11T16:01:59.035000000,COMPLETE,new_row,H403,functioning,not_applicable,M11,electricity,"[""not_applicable""]",R623,20011901950,installed_in_use,unknown,2010
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R622,default,uuid:64974b10-9ae8-4efe-808f-7b0230ed2b53,,anonymous,2016-07-11T16:01:59.033000000,COMPLETE,new_row,H404,functioning,not_applicable,M11,electricity,"[""not_applicable""]",R622,2001192041,installed_in_use,unknown,2010
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R625,default,uuid:2dc1efa0-0b18-4448-8172-a1422555de66,,anonymous,2016-07-11T16:01:59.042000000,COMPLETE,new_row,H468,functioning,not_applicable,M67,electricity,"[""not_applicable""]",R625,AE98280030,installed_in_use,unknown,2004
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R624,default,uuid:71696283-ecb9-4879-b4c0-e61a8592d243,,anonymous,2016-07-11T16:01:59.040000000,COMPLETE,new_row,H404,functioning,not_applicable,M19,electricity,"[""not_applicable""]",R624,1,installed_in_use,unknown,1998
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R839,default,uuid:ab6c426e-d92b-4d0a-9645-504c06a12ff2,,anonymous,2016-07-11T16:01:59.040000000,COMPLETE,new_row,H407,functioning,not_applicable,M8,electricity,"[""not_applicable""]",R839,2205047,installed_in_use,unknown,2003
,HIDDEN,,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,R838,default,uuid:de7a1071-5fea-4d8d-a604-22af2e4e7c21,,anonymous,2016-07-11T16:01:59.035000000,COMPLETE,new_row,H809,functioning,not_applicable,M61,electricity,"[""not_applicable""]",R838,9420753,installed_in_use,unknown,2016
,HIDDEN,,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,R837,default,uuid:ff7ac572-2ee7-4dc5-842c-b09858e94258,,anonymous,2016-07-11T16:01:59.033000000,COMPLETE,new_row,H808,functioning,not_applicable,M51,unknown,"[""not_applicable""]",R837,2250139,installed_in_use,unknown,2009
,HIDDEN,,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,R836,default,uuid:0b8b433e-b098-4e00-baa0-b0ea01e15f0d,,anonymous,2016-07-11T16:01:59.031000000,COMPLETE,new_row,H807,not_functioning,not_applicable,M26,solar,"[""not_applicable""]",R836,328A50088,installed_in_use,unknown,2010
