date_serviced,notes,refrigerator_id
2017-07-07T00:00:00.000000000,,R69
2017-03-30T00:00:00.000000000,,R70
2017-07-24T00:00:00.000000000,Faulty power supply was replaced,R71
2017-04-19T00:00:00.000000000,,R72
2017-06-29T00:00:00.000000000,,R73
2016-08-07T00:00:00.000000000,Faulty power supply was replaced,R74
2017-05-15T00:00:00.000000000,Nothing to report,R75
2017-06-26T00:00:00.000000000,,R76
2017-04-10T00:00:00.000000000,Seems to be in good condition,R77
2017-04-22T00:00:00.000000000,Faulty power supply was replaced,R78
2017-07-03T00:00:00.000000000,,R79
2017-05-08T00:00:00.000000000,Seems to be in good condition,R81
2017-03-11T00:00:00.000000000,Faulty power supply was replaced,R83
2017-02-24T00:00:00.000000000,Nothing to report,R84
2016-06-25T00:00:00.000000000,Seems to be in good condition,R85
2017-02-23T00:00:00.000000000,Nothing to report,R86
2017-07-26T00:00:00.000000000,Faulty power supply was replaced,R87
2017-04-17T00:00:00.000000000,,R88
2017-03-14T00:00:00.000000000,Seems to be in good condition,R89
2017-05-25T00:00:00.000000000,,R90
2015-12-20T00:00:00.000000000,Nothing to report,R93
2017-02-10T00:00:00.000000000,Faulty power supply was replaced,R94
2017-04-17T00:00:00.000000000,Seems to be in good condition,R96
2017-03-12T00:00:00.000000000,Seems to be in good condition,R97
2017-05-01T00:00:00.000000000,Faulty power supply was replaced,R99
2017-03-24T00:00:00.000000000,,R100
2017-05-24T00:00:00.000000000,Faulty power supply was replaced,R101
2017-02-12T00:00:00.000000000,Seems to be in good condition,R103
2017-03-11T00:00:00.000000000,Seems to be in good condition,R104
2017-02-14T00:00:00.000000000,,R105
2017-04-17T00:00:00.000000000,Faulty power supply was replaced,R106
2017-06-08T00:00:00.000000000,Seems to be in good condition,R108
2017-02-07T00:00:00.000000000,Faulty power supply was replaced,R109
2017-03-25T00:00:00.000000000,Faulty power supply was replaced,R110
2017-06-12T00:00:00.000000000,,R113
2017-05-08T00:00:00.000000000,Seems to be in good condition,R116
2017-05-25T00:00:00.000000000,Seems to be in good condition,R117
2017-06-29T00:00:00.000000000,Faulty power supply was replaced,R118
2016-10-21T00:00:00.000000000,Seems to be in good condition,R119
2016-02-26T00:00:00.000000000,Nothing to report,R120
2017-02-15T00:00:00.000000000,Faulty power supply was replaced,R121
2017-03-25T00:00:00.000000000,,R122
2016-08-17T00:00:00.000000000,Seems to be in good condition,R123
2017-01-30T00:00:00.000000000,Seems to be in good condition,R124
2017-02-24T00:00:00.000000000,Faulty power supply was replaced,R125
2017-07-12T00:00:00.000000000,Faulty power supply was replaced,R126
2017-01-17T00:00:00.000000000,Faulty power supply was replaced,R127
2017-03-31T00:00:00.000000000,Seems to be in good condition,R128
2016-03-08T00:00:00.000000000,Nothing to report,R129
2017-03-19T00:00:00.000000000,Seems to be in good condition,R130
2017-06-16T00:00:00.000000000,Seems to be in good condition,R132
2017-07-24T00:00:00.000000000,Seems to be in good condition,R133
2017-02-21T00:00:00.000000000,Nothing to report,R134
2017-02-28T00:00:00.000000000,,R135
2017-07-31T00:00:00.000000000,Seems to be in good condition,R137
2017-06-25T00:00:00.000000000,,R138
2017-05-09T00:00:00.000000000,Seems to be in good condition,R140
2017-05-31T00:00:00.000000000,,R141
2017-03-25T00:00:00.000000000,Nothing to report,R142
2017-03-19T00:00:00.000000000,Nothing to report,R143
2017-07-13T00:00:00.000000000,Nothing to report,R144
2017-06-20T00:00:00.000000000,Seems to be in good condition,R145
2017-05-23T00:00:00.000000000,Nothing to report,R146
2017-04-28T00:00:00.000000000,,R148
2017-05-23T00:00:00.000000000,,R150
2017-07-02T00:00:00.000000000,,R151
2017-06-07T00:00:00.000000000,Faulty power supply was replaced,R152
2017-02-17T00:00:00.000000000,,R153
2014-10-12T00:00:00.000000000,,R155
2017-02-18T00:00:00.000000000,Seems to be in good condition,R156
2017-06-30T00:00:00.000000000,,R157
2017-06-08T00:00:00.000000000,,R158
2014-12-28T00:00:00.000000000,Nothing to report,R159
2017-02-14T00:00:00.000000000,Nothing to report,R160
2017-07-24T00:00:00.000000000,Seems to be in good condition,R163
2017-06-13T00:00:00.000000000,Seems to be in good condition,R164
2017-07-11T00:00:00.000000000,Seems to be in good condition,R165
2017-04-20T00:00:00.000000000,Nothing to report,R166
2017-02-07T00:00:00.000000000,Nothing to report,R167
2017-07-10T00:00:00.000000000,Nothing to report,R168
2017-02-20T00:00:00.000000000,,R169
2017-05-08T00:00:00.000000000,Seems to be in good condition,R170
2017-08-01T00:00:00.000000000,Faulty power supply was replaced,R171
2017-04-08T00:00:00.000000000,Seems to be in good condition,R172
2017-04-24T00:00:00.000000000,,R173
2016-02-04T00:00:00.000000000,Faulty power supply was replaced,R174
2017-05-28T00:00:00.000000000,Faulty power supply was replaced,R175
2017-07-04T00:00:00.000000000,Faulty power supply was replaced,R176
2017-05-05T00:00:00.000000000,,R177
2017-06-25T00:00:00.000000000,,R178
2017-02-02T00:00:00.000000000,Nothing to report,R179
2017-04-09T00:00:00.000000000,Seems to be in good condition,R180
2017-06-07T00:00:00.000000000,,R181
2016-02-06T00:00:00.000000000,Faulty power supply was replaced,R183
2016-03-30T00:00:00.000000000,,R184
2014-12-09T00:00:00.000000000,,R186
2017-07-20T00:00:00.000000000,Nothing to report,R187
2017-05-20T00:00:00.000000000,Seems to be in good condition,R189
2016-04-09T00:00:00.000000000,Seems to be in good condition,R190
2017-07-19T00:00:00.000000000,Faulty power supply was replaced,R191
2017-02-18T00:00:00.000000000,Seems to be in good condition,R192
2017-07-03T00:00:00.000000000,,R193
2017-04-22T00:00:00.000000000,Faulty power supply was replaced,R194
2014-12-01T00:00:00.000000000,Seems to be in good condition,R196
2017-04-12T00:00:00.000000000,Nothing to report,R197
2017-03-16T00:00:00.000000000,Nothing to report,R198
2017-06-06T00:00:00.000000000,,R199
2017-03-02T00:00:00.000000000,Faulty power supply was replaced,R201
2016-01-15T00:00:00.000000000,Nothing to report,R202
2017-07-29T00:00:00.000000000,,R204
2017-04-06T00:00:00.000000000,Faulty power supply was replaced,R205
2017-01-06T00:00:00.000000000,Nothing to report,R207
2017-07-30T00:00:00.000000000,Nothing to report,R208
2017-03-24T00:00:00.000000000,Nothing to report,R209
2017-02-21T00:00:00.000000000,,R210
2017-03-09T00:00:00.000000000,Faulty power supply was replaced,R211
2017-04-15T00:00:00.000000000,Faulty power supply was replaced,R213
2017-05-05T00:00:00.000000000,Seems to be in good condition,R215
2017-04-16T00:00:00.000000000,Nothing to report,R216
2017-03-02T00:00:00.000000000,,R217
2017-04-24T00:00:00.000000000,,R219
2017-06-06T00:00:00.000000000,Nothing to report,R222
2017-06-11T00:00:00.000000000,Faulty power supply was replaced,R223
2017-05-27T00:00:00.000000000,Seems to be in good condition,R224
2017-02-23T00:00:00.000000000,Nothing to report,R225
2017-04-21T00:00:00.000000000,,R226
2017-04-07T00:00:00.000000000,Nothing to report,R227
2017-07-30T00:00:00.000000000,Nothing to report,R228
2017-01-09T00:00:00.000000000,Seems to be in good condition,R229
2017-07-07T00:00:00.000000000,Seems to be in good condition,R230
2017-07-05T00:00:00.000000000,Faulty power supply was replaced,R231
2017-04-08T00:00:00.000000000,Seems to be in good condition,R232
2017-05-25T00:00:00.000000000,Faulty power supply was replaced,R233
2017-07-31T00:00:00.000000000,,R234
2017-04-02T00:00:00.000000000,Seems to be in good condition,R235
2017-05-03T00:00:00.000000000,Nothing to report,R236
2017-07-13T00:00:00.000000000,,R237
2017-05-20T00:00:00.000000000,Seems to be in good condition,R238
2017-02-22T00:00:00.000000000,Faulty power supply was replaced,R239
2017-03-13T00:00:00.000000000,Nothing to report,R240
2017-05-20T00:00:00.000000000,Seems to be in good condition,R241
2017-07-13T00:00:00.000000000,Faulty power supply was replaced,R243
2017-05-09T00:00:00.000000000,Nothing to report,R244
2017-03-18T00:00:00.000000000,,R245
2017-04-18T00:00:00.000000000,,R248
2017-02-26T00:00:00.000000000,,R249
2017-06-14T00:00:00.000000000,Nothing to report,R250
2017-05-22T00:00:00.000000000,,R251
2017-07-04T00:00:00.000000000,Faulty power supply was replaced,R252
2017-05-07T00:00:00.000000000,Seems to be in good condition,R254
2015-05-18T00:00:00.000000000,,R255
2016-01-06T00:00:00.000000000,Faulty power supply was replaced,R257
2017-07-09T00:00:00.000000000,Seems to be in good condition,R258
2016-03-06T00:00:00.000000000,Faulty power supply was replaced,R259
2017-07-16T00:00:00.000000000,Faulty power supply was replaced,R260
2016-08-30T00:00:00.000000000,Seems to be in good condition,R261
2017-03-29T00:00:00.000000000,,R262
2017-03-06T00:00:00.000000000,,R263
2017-07-17T00:00:00.000000000,,R266
2017-02-10T00:00:00.000000000,Faulty power supply was replaced,R268
2017-07-14T00:00:00.000000000,,R270
2017-04-02T00:00:00.000000000,Faulty power supply was replaced,R271
2017-04-03T00:00:00.000000000,,R272
2016-11-22T00:00:00.000000000,Nothing to report,R273
2017-02-28T00:00:00.000000000,Seems to be in good condition,R274
2015-04-16T00:00:00.000000000,,R275
2017-05-17T00:00:00.000000000,Seems to be in good condition,R276
2017-04-15T00:00:00.000000000,,R278
2017-07-18T00:00:00.000000000,Nothing to report,R279
2017-03-22T00:00:00.000000000,,R280
2017-07-09T00:00:00.000000000,Seems to be in good condition,R281
2017-03-16T00:00:00.000000000,Faulty power supply was replaced,R282
2017-02-08T00:00:00.000000000,,R284
2017-03-10T00:00:00.000000000,Nothing to report,R285
2017-06-28T00:00:00.000000000,,R286
2017-03-18T00:00:00.000000000,,R287
2017-07-30T00:00:00.000000000,Faulty power supply was replaced,R288
2015-12-15T00:00:00.000000000,Nothing to report,R289
2017-03-31T00:00:00.000000000,Faulty power supply was replaced,R290
2017-03-26T00:00:00.000000000,Faulty power supply was replaced,R291
2017-06-21T00:00:00.000000000,Faulty power supply was replaced,R292
2017-06-29T00:00:00.000000000,Seems to be in good condition,R293
2017-04-19T00:00:00.000000000,Seems to be in good condition,R294
2017-06-15T00:00:00.000000000,Faulty power supply was replaced,R295
2017-04-25T00:00:00.000000000,Nothing to report,R296
2017-08-02T00:00:00.000000000,Nothing to report,R297
2017-05-19T00:00:00.000000000,Seems to be in good condition,R300
2017-05-18T00:00:00.000000000,,R302
2017-02-15T00:00:00.000000000,Nothing to report,R303
2017-04-05T00:00:00.000000000,,R304
2017-04-27T00:00:00.000000000,Seems to be in good condition,R305
2017-06-03T00:00:00.000000000,Seems to be in good condition,R306
2017-02-04T00:00:00.000000000,Nothing to report,R307
2017-05-31T00:00:00.000000000,Seems to be in good condition,R309
2017-06-30T00:00:00.000000000,Seems to be in good condition,R310
2017-02-11T00:00:00.000000000,Faulty power supply was replaced,R311
2015-09-28T00:00:00.000000000,Seems to be in good condition,R312
2017-04-15T00:00:00.000000000,Seems to be in good condition,R313
2017-04-28T00:00:00.000000000,Faulty power supply was replaced,R314
2017-05-20T00:00:00.000000000,Faulty power supply was replaced,R316
2017-07-28T00:00:00.000000000,Faulty power supply was replaced,R318
2017-04-28T00:00:00.000000000,Faulty power supply was replaced,R320
2017-04-04T00:00:00.000000000,Nothing to report,R321
2017-03-14T00:00:00.000000000,Nothing to report,R322
2017-07-07T00:00:00.000000000,Faulty power supply was replaced,R323
2017-03-31T00:00:00.000000000,Seems to be in good condition,R324
2017-05-23T00:00:00.000000000,Faulty power supply was replaced,R325
2017-05-22T00:00:00.000000000,Seems to be in good condition,R326
2016-12-23T00:00:00.000000000,Nothing to report,R328
2017-04-13T00:00:00.000000000,Faulty power supply was replaced,R329
2017-05-23T00:00:00.000000000,Faulty power supply was replaced,R331
2017-04-18T00:00:00.000000000,Seems to be in good condition,R334
2017-02-15T00:00:00.000000000,Faulty power supply was replaced,R335
2017-06-05T00:00:00.000000000,Faulty power supply was replaced,R336
2017-04-18T00:00:00.000000000,Faulty power supply was replaced,R337
2017-06-13T00:00:00.000000000,Seems to be in good condition,R338
2014-11-01T00:00:00.000000000,Faulty power supply was replaced,R339
2017-02-17T00:00:00.000000000,Nothing to report,R340
2017-04-05T00:00:00.000000000,Seems to be in good condition,R341
2017-03-03T00:00:00.000000000,Nothing to report,R342
2017-07-14T00:00:00.000000000,Nothing to report,R343
2017-05-17T00:00:00.000000000,Nothing to report,R344
2017-03-30T00:00:00.000000000,,R345
2016-02-28T00:00:00.000000000,,R346
2017-03-01T00:00:00.000000000,Faulty power supply was replaced,R347
2017-06-27T00:00:00.000000000,Faulty power supply was replaced,R348
2017-04-08T00:00:00.000000000,Seems to be in good condition,R349
2017-06-26T00:00:00.000000000,Nothing to report,R351
2017-03-11T00:00:00.000000000,Seems to be in good condition,R352
2017-06-13T00:00:00.000000000,Faulty power supply was replaced,R354
2015-03-31T00:00:00.000000000,Nothing to report,R355
2016-10-13T00:00:00.000000000,Nothing to report,R356
2017-07-24T00:00:00.000000000,Nothing to report,R357
2017-04-12T00:00:00.000000000,Nothing to report,R358
2017-04-19T00:00:00.000000000,Seems to be in good condition,R359
2017-07-13T00:00:00.000000000,Seems to be in good condition,R360
2017-07-10T00:00:00.000000000,Faulty power supply was replaced,R361
2017-02-07T00:00:00.000000000,Faulty power supply was replaced,R363
2017-05-17T00:00:00.000000000,Seems to be in good condition,R365
2017-02-19T00:00:00.000000000,Seems to be in good condition,R366
2017-03-21T00:00:00.000000000,,R367
2015-06-14T00:00:00.000000000,Faulty power supply was replaced,R368
2017-04-16T00:00:00.000000000,,R369
2017-04-28T00:00:00.000000000,Faulty power supply was replaced,R371
2017-03-31T00:00:00.000000000,Faulty power supply was replaced,R372
2017-06-24T00:00:00.000000000,Seems to be in good condition,R375
2017-06-07T00:00:00.000000000,,R376
2017-07-04T00:00:00.000000000,Nothing to report,R377
2017-02-20T00:00:00.000000000,,R379
2017-03-24T00:00:00.000000000,Faulty power supply was replaced,R380
2016-10-19T00:00:00.000000000,,R381
2017-03-07T00:00:00.000000000,,R383
2017-07-17T00:00:00.000000000,Nothing to report,R385
2017-03-07T00:00:00.000000000,Nothing to report,R386
2017-04-20T00:00:00.000000000,Faulty power supply was replaced,R387
2017-03-29T00:00:00.000000000,Faulty power supply was replaced,R388
2017-03-26T00:00:00.000000000,Seems to be in good condition,R389
2017-03-17T00:00:00.000000000,Nothing to report,R390
2017-04-09T00:00:00.000000000,Nothing to report,R391
2017-06-01T00:00:00.000000000,Faulty power supply was replaced,R394
2017-03-04T00:00:00.000000000,Faulty power supply was replaced,R395
2017-04-18T00:00:00.000000000,Seems to be in good condition,R396
2014-10-30T00:00:00.000000000,Nothing to report,R397
2017-03-19T00:00:00.000000000,,R398
2017-03-30T00:00:00.000000000,Nothing to report,R399
2016-06-11T00:00:00.000000000,Seems to be in good condition,R400
2017-04-01T00:00:00.000000000,Nothing to report,R401
2017-07-02T00:00:00.000000000,Nothing to report,R402
2017-05-13T00:00:00.000000000,Seems to be in good condition,R403
2017-05-20T00:00:00.000000000,,R406
2017-05-19T00:00:00.000000000,,R407
2017-02-10T00:00:00.000000000,Faulty power supply was replaced,R408
2017-04-08T00:00:00.000000000,Seems to be in good condition,R409
2015-10-26T00:00:00.000000000,,R410
2017-03-30T00:00:00.000000000,Nothing to report,R411
2017-06-02T00:00:00.000000000,Nothing to report,R412
2017-06-04T00:00:00.000000000,,R413
2017-07-29T00:00:00.000000000,,R415
2017-05-05T00:00:00.000000000,Nothing to report,R416
2017-05-18T00:00:00.000000000,Nothing to report,R417
2017-02-07T00:00:00.000000000,Seems to be in good condition,R418
2017-06-20T00:00:00.000000000,Seems to be in good condition,R419
2017-04-15T00:00:00.000000000,Faulty power supply was replaced,R420
2017-02-08T00:00:00.000000000,,R421
2017-05-19T00:00:00.000000000,Faulty power supply was replaced,R423
2017-07-05T00:00:00.000000000,Faulty power supply was replaced,R424
2017-05-12T00:00:00.000000000,Faulty power supply was replaced,R425
2017-04-07T00:00:00.000000000,Faulty power supply was replaced,R426
2016-10-05T00:00:00.000000000,,R427
2017-07-25T00:00:00.000000000,Faulty power supply was replaced,R429
2017-03-27T00:00:00.000000000,Seems to be in good condition,R430
2017-02-18T00:00:00.000000000,Nothing to report,R431
2017-06-01T00:00:00.000000000,Faulty power supply was replaced,R432
2017-04-20T00:00:00.000000000,Faulty power supply was replaced,R433
2017-03-25T00:00:00.000000000,,R434
2017-07-04T00:00:00.000000000,Seems to be in good condition,R435
2017-05-04T00:00:00.000000000,Faulty power supply was replaced,R436
2017-03-22T00:00:00.000000000,Nothing to report,R437
2017-04-30T00:00:00.000000000,Faulty power supply was replaced,R438
2017-02-07T00:00:00.000000000,,R439
2017-04-17T00:00:00.000000000,Faulty power supply was replaced,R443
2017-03-21T00:00:00.000000000,Seems to be in good condition,R444
2017-06-18T00:00:00.000000000,Nothing to report,R445
2017-06-05T00:00:00.000000000,Nothing to report,R446
2017-05-21T00:00:00.000000000,Faulty power supply was replaced,R448
2017-07-14T00:00:00.000000000,Faulty power supply was replaced,R449
2017-02-27T00:00:00.000000000,Seems to be in good condition,R450
2014-09-03T00:00:00.000000000,Faulty power supply was replaced,R451
2014-10-10T00:00:00.000000000,,R452
2017-05-07T00:00:00.000000000,Seems to be in good condition,R453
2017-03-03T00:00:00.000000000,Nothing to report,R454
2017-04-23T00:00:00.000000000,,R455
2014-09-06T00:00:00.000000000,,R456
2017-07-19T00:00:00.000000000,Nothing to report,R457
2017-06-07T00:00:00.000000000,,R459
2017-06-22T00:00:00.000000000,Seems to be in good condition,R460
2015-10-19T00:00:00.000000000,Seems to be in good condition,R461
2017-03-10T00:00:00.000000000,Nothing to report,R464
2017-08-02T00:00:00.000000000,Seems to be in good condition,R465
2017-02-10T00:00:00.000000000,Seems to be in good condition,R467
2017-07-31T00:00:00.000000000,Nothing to report,R468
2017-05-27T00:00:00.000000000,Faulty power supply was replaced,R469
2017-05-19T00:00:00.000000000,Nothing to report,R470
2017-05-03T00:00:00.000000000,,R471
2017-07-21T00:00:00.000000000,,R472
2017-06-11T00:00:00.000000000,Faulty power supply was replaced,R473
2017-06-26T00:00:00.000000000,Faulty power supply was replaced,R474
2017-07-14T00:00:00.000000000,,R475
2017-04-20T00:00:00.000000000,Seems to be in good condition,R476
2017-02-24T00:00:00.000000000,Seems to be in good condition,R477
2017-06-06T00:00:00.000000000,Faulty power supply was replaced,R478
2017-04-20T00:00:00.000000000,Nothing to report,R479
2017-07-17T00:00:00.000000000,Faulty power supply was replaced,R482
2017-07-28T00:00:00.000000000,Faulty power supply was replaced,R483
2016-04-30T00:00:00.000000000,,R484
2017-03-10T00:00:00.000000000,Seems to be in good condition,R486
2017-02-13T00:00:00.000000000,,R487
2017-03-07T00:00:00.000000000,,R489
2015-11-01T00:00:00.000000000,Seems to be in good condition,R490
2017-04-14T00:00:00.000000000,Nothing to report,R492
2017-05-21T00:00:00.000000000,Nothing to report,R493
2016-01-12T00:00:00.000000000,Nothing to report,R494
2017-03-06T00:00:00.000000000,Nothing to report,R495
2017-06-12T00:00:00.000000000,,R498
2017-04-16T00:00:00.000000000,,R499
2016-11-24T00:00:00.000000000,Nothing to report,R500
2017-05-29T00:00:00.000000000,Nothing to report,R501
2014-11-15T00:00:00.000000000,,R503
2017-06-29T00:00:00.000000000,Nothing to report,R504
2017-05-01T00:00:00.000000000,,R505
2017-06-21T00:00:00.000000000,Seems to be in good condition,R506
2017-06-15T00:00:00.000000000,Faulty power supply was replaced,R507
2016-11-11T00:00:00.000000000,Faulty power supply was replaced,R508
2017-04-13T00:00:00.000000000,Nothing to report,R509
2017-06-27T00:00:00.000000000,Nothing to report,R510
2017-07-09T00:00:00.000000000,Nothing to report,R511
2017-06-16T00:00:00.000000000,,R512
2017-04-10T00:00:00.000000000,,R513
2017-07-03T00:00:00.000000000,Seems to be in good condition,R514
2017-05-21T00:00:00.000000000,Faulty power supply was replaced,R516
2017-04-28T00:00:00.000000000,,R517
2017-06-19T00:00:00.000000000,,R518
2017-06-07T00:00:00.000000000,Nothing to report,R519
2017-06-21T00:00:00.000000000,,R520
2014-11-05T00:00:00.000000000,Faulty power supply was replaced,R521
2017-05-08T00:00:00.000000000,Seems to be in good condition,R524
2017-04-13T00:00:00.000000000,Seems to be in good condition,R526
2017-03-08T00:00:00.000000000,Faulty power supply was replaced,R527
2017-03-27T00:00:00.000000000,Nothing to report,R528
2017-02-09T00:00:00.000000000,Faulty power supply was replaced,R530
2017-06-17T00:00:00.000000000,Nothing to report,R533
2015-02-24T00:00:00.000000000,,R535
2016-09-22T00:00:00.000000000,Faulty power supply was replaced,R536
2017-02-06T00:00:00.000000000,,R537
2017-07-22T00:00:00.000000000,Nothing to report,R538
2015-06-27T00:00:00.000000000,Seems to be in good condition,R539
2017-02-23T00:00:00.000000000,Faulty power supply was replaced,R541
2017-07-15T00:00:00.000000000,Faulty power supply was replaced,R542
2017-07-21T00:00:00.000000000,Seems to be in good condition,R543
2017-07-21T00:00:00.000000000,,R545
2017-07-19T00:00:00.000000000,Faulty power supply was replaced,R546
2017-04-14T00:00:00.000000000,Faulty power supply was replaced,R547
2017-04-28T00:00:00.000000000,Seems to be in good condition,R549
2017-03-16T00:00:00.000000000,Seems to be in good condition,R550
2017-06-26T00:00:00.000000000,,R551
2017-07-12T00:00:00.000000000,Faulty power supply was replaced,R552
2017-07-06T00:00:00.000000000,Faulty power supply was replaced,R553
2017-07-27T00:00:00.000000000,Nothing to report,R554
2017-07-28T00:00:00.000000000,,R557
2017-05-25T00:00:00.000000000,,R558
2017-07-17T00:00:00.000000000,Nothing to report,R559
2017-02-07T00:00:00.000000000,Nothing to report,R560
2015-05-26T00:00:00.000000000,,R561
2017-06-08T00:00:00.000000000,Seems to be in good condition,R562
2017-07-12T00:00:00.000000000,,R563
2017-03-04T00:00:00.000000000,,R564
2017-06-22T00:00:00.000000000,,R565
2017-05-08T00:00:00.000000000,Nothing to report,R566
2017-07-27T00:00:00.000000000,Nothing to report,R568
2017-06-26T00:00:00.000000000,Seems to be in good condition,R569
2017-07-10T00:00:00.000000000,Faulty power supply was replaced,R570
2017-03-27T00:00:00.000000000,Nothing to report,R571
2017-06-09T00:00:00.000000000,Seems to be in good condition,R573
2017-03-20T00:00:00.000000000,Nothing to report,R574
2017-07-04T00:00:00.000000000,Seems to be in good condition,R576
2015-03-30T00:00:00.000000000,Nothing to report,R577
2017-07-13T00:00:00.000000000,Faulty power supply was replaced,R578
2017-07-30T00:00:00.000000000,Seems to be in good condition,R580
2017-04-17T00:00:00.000000000,Seems to be in good condition,R581
2017-06-30T00:00:00.000000000,Nothing to report,R582
2017-04-14T00:00:00.000000000,Faulty power supply was replaced,R583
2017-06-14T00:00:00.000000000,Nothing to report,R585
2017-06-07T00:00:00.000000000,Seems to be in good condition,R586
2017-05-29T00:00:00.000000000,Seems to be in good condition,R587
2017-04-10T00:00:00.000000000,Seems to be in good condition,R589
2017-07-27T00:00:00.000000000,Nothing to report,R590
2017-03-11T00:00:00.000000000,Seems to be in good condition,R591
2015-07-24T00:00:00.000000000,,R592
2017-05-14T00:00:00.000000000,Nothing to report,R593
2017-03-03T00:00:00.000000000,Nothing to report,R594
2017-03-18T00:00:00.000000000,Nothing to report,R595
2017-05-11T00:00:00.000000000,Nothing to report,R596
2017-04-08T00:00:00.000000000,,R597
2017-04-30T00:00:00.000000000,,R598
2017-08-02T00:00:00.000000000,,R600
2017-05-18T00:00:00.000000000,,R601
2017-03-16T00:00:00.000000000,Seems to be in good condition,R602
2017-07-20T00:00:00.000000000,Nothing to report,R604
2017-07-05T00:00:00.000000000,Seems to be in good condition,R605
2017-05-24T00:00:00.000000000,Nothing to report,R606
2017-02-03T00:00:00.000000000,,R607
2017-06-15T00:00:00.000000000,,R609
2017-06-01T00:00:00.000000000,Nothing to report,R610
2017-06-21T00:00:00.000000000,Faulty power supply was replaced,R611
2016-01-23T00:00:00.000000000,Faulty power supply was replaced,R612
2017-05-02T00:00:00.000000000,Faulty power supply was replaced,R613
2017-07-22T00:00:00.000000000,Seems to be in good condition,R614
2017-03-09T00:00:00.000000000,Faulty power supply was replaced,R615
2015-05-15T00:00:00.000000000,Nothing to report,R616
2017-02-05T00:00:00.000000000,Seems to be in good condition,R617
2017-04-16T00:00:00.000000000,Nothing to report,R618
2017-02-15T00:00:00.000000000,Nothing to report,R619
2017-04-22T00:00:00.000000000,Nothing to report,R620
2017-02-19T00:00:00.000000000,Nothing to report,R621
2017-04-25T00:00:00.000000000,Seems to be in good condition,R623
2017-05-15T00:00:00.000000000,Faulty power supply was replaced,R625
2015-05-30T00:00:00.000000000,Faulty power supply was replaced,R626
2017-07-14T00:00:00.000000000,Seems to be in good condition,R627
