_conflict_type,_default_access,_form_id,_group_modify,_group_privileged,_group_read_only,_id,_locale,_row_etag,_row_owner,_savepoint_creator,_savepoint_timestamp,_savepoint_type,_sync_state,catalog_id,climate_zone,equipment_type,freezer_gross_volume,freezer_net_volume,manufacturer,model_id,power_source,refrigerator_gross_volume,refrigerator_net_volume,refrigerator_picture_contentType,refrigerator_picture_uriFragment
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M19,default,uuid:ebff801b-bff4-4745-8d91-5ac3a221a161,,anonymous,2016-07-11T16:01:59.017000000,COMPLETE,synced,E003015,hot,ice_lined_refrigerator,0,0,Haier,HBC-340,"[""electricity""]",340,200,image/jpg,E003015.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M2,default,uuid:f079a956-f7fe-4305-a24b-32af2e2262a8,,anonymous,2016-07-11T16:01:59.017000000,COMPLETE,synced,B002,temperate,upright_refrigerator,0,0,SHARP,SJ-K170T,"[""electricity""]",160,40,image/jpg,B002.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M20,default,uuid:561f3e78-cebc-4d17-a88e-93aac10795ca,,anonymous,2016-07-11T16:01:59.019000000,COMPLETE,synced,E003016,hot,solar_photovoltaic_refrigerator,0,0,True Energy,PS65i,"[""solar""]",61,37.5,image/jpg,E003016.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M21,default,uuid:4532c8d1-714a-4689-bf4b-1c0fd09f1daf,,anonymous,2016-07-11T16:01:59.022000000,COMPLETE,synced,E003017,hot,ice_lined_refrigerator,0,0,Dometic,TCW3000 AC,"[""electricity""]",204,150,image/jpg,E003017.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M22,default,uuid:591aa69b-e04c-4829-89ee-7bebc8b21e06,,anonymous,2016-07-11T16:01:59.023000000,COMPLETE,synced,E003018,hot,solar_photovoltaic_refrigerator,0,0,Haier Medical and Laboratory,HBC-60,"[""solar""]",50,21,image/jpg,E003018.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M23,default,uuid:49bdbb8e-4b83-4340-a0c8-90f9b9b5406e,,anonymous,2016-07-11T16:01:59.025000000,COMPLETE,synced,E3100M,hot,chest_freezer,180,144,Dometic,FCW 200,"[""electricity""]",0,0,image/jpg,E3100M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M24,default,uuid:db05478b-19e5-43ca-adf5-8e63f10c73f6,,anonymous,2016-07-11T16:01:59.027000000,COMPLETE,synced,E3101M,hot,solar_photovoltaic_refrigerator,38,0,Solamatic,PVR150,"[""solar""]",105,30,image/jpg,E3101M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M25,default,uuid:8ec56d94-d4b0-4e02-a38b-3bafda6fe094,,anonymous,2016-07-11T16:01:59.029000000,COMPLETE,synced,E3102M,hot,ice_pack_freezer,215,16,Zero,GR 265 EK,"[""electricity"", ""kerosene""]",0,0,image/jpg,E3102M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M26,default,uuid:f4bfea12-2eb2-460b-ba01-a2be5d9eb43a,,anonymous,2016-07-11T16:01:59.031000000,COMPLETE,synced,E3103M,hot,solar_photovoltaic_refrigerator,25,0,Dulas,VC-65 F,"[""solar""]",68,37.5,image/jpg,E3103M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M27,default,uuid:893a5305-3b7f-4be7-9a51-acf25854651f,,anonymous,2016-07-11T16:01:59.033000000,COMPLETE,synced,E3104M,hot,solar_photovoltaic_refrigerator,22,0,Kyocera Solar,VaccPack XL 2100,"[""solar""]",39,21,image/jpg,E3104M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M28,default,uuid:1f5e696f-d591-4f38-b4e1-5582a7dc5592,,anonymous,2016-07-11T16:01:59.035000000,COMPLETE,synced,E3105M,hot,solar_photovoltaic_refrigerator,26,0,Kyocera Solar,VaccPack XL 6000,"[""solar""]",114,60,image/jpg,E3105M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M29,default,uuid:b948ccb9-be4c-4539-a99e-f96c1a11b708,,anonymous,2016-07-11T16:01:59.040000000,COMPLETE,synced,E3106M,hot,solar_photovoltaic_refrigerator,24,0,Bright Light Solar,PS65,"[""solar""]",66,37.5,image/jpg,E3106M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M3,default,uuid:ccb042b7-9950-4ac4-b3f6-afdd2f7f8c08,,anonymous,2016-07-11T16:01:59.019000000,COMPLETE,synced,B003,temperate,chest_freezer,195,0,SHARP,FRV 200 Freezer,"[""electricity""]",0,0,image/jpg,B003.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M30,default,uuid:acdc64fa-78ca-455d-8746-2d52faaa489d,,anonymous,2016-07-11T16:01:59.042000000,COMPLETE,synced,E3107,hot,ice_lined_refrigerator,0,0,Dometic,TCW 3000,"[""electricity""]",278,126.5,image/jpg,E3107.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M31,default,uuid:23b83214-95c3-4295-9f83-9f987c02c3c0,,anonymous,2016-07-11T16:01:59.044000000,COMPLETE,synced,E3108M,hot,upright_refrigerator,0,32,Zero,PR 265 EK,"[""electricity"", ""kerosene""]",179,37.5,image/jpg,E3108M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M32,default,uuid:4e5fb722-52f0-4d5e-90eb-60fb5911fa83,,anonymous,2016-07-11T16:01:59.047000000,COMPLETE,synced,E3109M,hot,solar_photovoltaic_refrigerator,0,24,Bright Light Solar,PS40,"[""solar""]",35,18,image/jpg,E3109M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M33,default,uuid:1912083d-a196-4409-b965-0918de1de468,,anonymous,2016-07-11T16:01:59.049000000,COMPLETE,synced,E3110M,temperate,chest_refrigerator,0,0,PT. Dilihan Glory,DOVLINE,"[""electricity""]",42,16,image/jpg,E3110M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M34,default,uuid:85ece219-11d9-4526-98d1-e72778ec8ae8,,anonymous,2016-07-11T16:01:59.051000000,COMPLETE,synced,E3111M,hot,ice_lined_refrigerator,42,0,Dometic,TCW 2000 AC,"[""electricity""]",118,60,image/jpg,E3111M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M35,default,uuid:71e4b9f8-da78-4461-b62e-34de86d86680,,anonymous,2016-07-11T16:01:59.016000000,COMPLETE,synced,E321M,temperate,chest_refrigerator,1.6,0,Dometic,RCW 42 EG,"[""electricity"", ""gas""]",40,10.5,image/jpg,E321M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M36,default,uuid:14ce7043-d123-4247-9cf2-7bb4217cb0a8,,anonymous,2016-07-11T16:01:59.017000000,COMPLETE,synced,E322M,temperate,chest_refrigerator,1.2,0,Dometic,RCW 42 EK,"[""electricity"", ""kerosene""]",40,18.2,image/jpg,E322M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M37,default,uuid:e18713b4-4449-4c02-b383-9d8869d08185,,anonymous,2016-07-11T16:01:59.019000000,COMPLETE,synced,E324M,hot,ice_lined_refrigerator,0,0,Dometic,TCW 1152,"[""electricity""]",250,169,image/jpg,E324M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M38,default,uuid:bc5e269c-0999-4d80-be78-e506c2faa72c,,anonymous,2016-07-11T16:01:59.022000000,COMPLETE,synced,E330M,hot,chest_refrigerator,0,0,Dometic,RCW 42AC,"[""electricity""]",36,12,image/jpg,E330M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M39,default,uuid:5860bfa1-5e26-4992-9766-74898c3452ef,,anonymous,2016-07-11T16:01:59.023000000,COMPLETE,synced,E331M,hot,solar_photovoltaic_refrigerator,0,0,Dometic,RCW 42 DC,"[""solar""]",27,14,image/jpg,E331M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M4,default,uuid:8d69ea0b-477f-4b3f-85e7-d50901c72ca2,,anonymous,2016-07-11T16:01:59.022000000,COMPLETE,synced,B004,hot,chest_freezer,210,190,Vestfrost,SB 202,"[""electricity""]",0,0,image/jpg,B004.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M40,default,uuid:4b18463c-d3fa-4506-beb7-383309b62347,,anonymous,2016-07-11T16:01:59.025000000,COMPLETE,synced,E337M,hot,solar_photovoltaic_refrigerator,5,0,BP Solar,VR50F,"[""solar""]",44,17.5,image/jpg,E337M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M41,default,uuid:73bb65fc-61f6-425a-a39f-2618d70e93bc,,anonymous,2016-07-11T16:01:59.027000000,COMPLETE,synced,E357M,hot,ice_lined_refrigerator,0,0,Vestfrost,MK 144,"[""electricity""]",94,45,image/jpg,E357M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M42,default,uuid:f1d3acc6-44d8-4fe3-9bf6-9c0057f08296,,anonymous,2016-07-11T16:01:59.029000000,COMPLETE,synced,E362M,hot,ice_lined_refrigerator,17,0,Dometic,TCW 1990,"[""electricity""]",66,37.5,image/jpg,E362M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M43,default,uuid:de2d6e56-1e9d-481f-8c70-559fc18b148d,,anonymous,2016-07-11T16:01:59.031000000,COMPLETE,synced,E364M,hot,ice_lined_refrigerator,0,0,LEC RefrigerationPLC,VC 139 F,"[""electricity""]",262,107.5,image/jpg,E364M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M44,default,uuid:e520859a-4c98-4bb6-a09b-7b0649f59b15,,anonymous,2016-07-11T16:01:59.033000000,COMPLETE,synced,E365M,hot,solar_photovoltaic_refrigerator,12.2,0,Norcoast,NRC 30-10,"[""solar""]",15.5,15.5,image/jpg,E365M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M45,default,uuid:9a93c429-461a-42ba-bea9-f4748a7c9329,,anonymous,2016-07-11T16:01:59.035000000,COMPLETE,synced,E370M,hot,solar_photovoltaic_refrigerator,7.3,0,Fortum AES,CFS49 ISI,"[""solar""]",49,20,image/jpg,E370M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M46,default,uuid:a0ffdedd-3dfb-40e2-a6a6-485a5ab9850b,,anonymous,2016-07-11T16:01:59.040000000,COMPLETE,synced,E372M,temperate,chest_freezer,18,14,Dometic,FCW 20 EG,"[""electricity"", ""gas""]",0,0,image/jpg,E372M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M47,default,uuid:c5f5df50-823c-4990-9a83-3d1fea44a65a,,anonymous,2016-07-11T16:01:59.042000000,COMPLETE,synced,E373M,temperate,chest_freezer,18,14,Dometic,FCW 20 EK,"[""electricity"", ""kerosene""]",0,0,image/jpg,E373M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M48,default,uuid:58c11df5-f3d0-4a40-93a6-44005f364578,,anonymous,2016-07-11T16:01:59.044000000,COMPLETE,synced,E377M,hot,solar_photovoltaic_refrigerator,32.5,0,Sun Frost,RFVB-134a,"[""solar""]",56.8,38.7,image/jpg,E377M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M49,default,uuid:e26a9004-23f2-40fe-b8e2-67dba990272d,,anonymous,2016-07-11T16:01:59.047000000,COMPLETE,synced,E379M,hot,solar_photovoltaic_refrigerator,63,0,Dulas,VC-150 F,"[""solar""]",127,85,image/jpg,E379M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M5,default,uuid:3df9e000-e167-46df-aa9f-f14bd4630090,,anonymous,2016-07-11T16:01:59.023000000,COMPLETE,synced,E003001,hot,solar_photovoltaic_refrigerator,42,30,Dometic,TCW 2000 DC,"[""solar""]",118,76,image/jpg,E003001.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M50,default,uuid:e5244e08-b433-472a-8850-398205e57b70,,anonymous,2016-07-11T16:01:59.049000000,COMPLETE,synced,E383,hot,solar_photovoltaic_refrigerator,5,0,TATA BP Solar,TBP VR 50,"[""solar""]",40,18,image/jpg,E383.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M51,default,uuid:bf4a2288-8402-4bd5-b756-5d0b3785beb9,,anonymous,2016-07-11T16:01:59.051000000,COMPLETE,synced,E384M,hot,upright_refrigerator,47,36,Sibir,V 170 GE,"[""electricity"", ""gas""]",170,55,image/jpg,E384M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M52,default,uuid:7f47072d-e343-4abd-b13c-c7627df0593a,,anonymous,2016-07-11T16:01:59.016000000,COMPLETE,synced,E385M,hot,upright_refrigerator,47,36,Sibir,V 170 EK,"[""electricity"", ""kerosene""]",170,55,image/jpg,E385M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M53,default,uuid:87addb73-d2f4-45d2-9818-2868b3d4bf0e,,anonymous,2016-07-11T16:01:59.017000000,COMPLETE,synced,E386M,hot,upright_refrigerator,15,0,Sibir,V 110 GE,"[""electricity"", ""gas""]",110,17,image/jpg,E386M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M54,default,uuid:d1734295-f5fc-4a3b-ae06-c0e3523ae1ba,,anonymous,2016-07-11T16:01:59.019000000,COMPLETE,synced,E387M,temperate,upright_refrigerator,15,0,Sibir,V 110 EK,"[""electricity"", ""kerosene""]",110,17,image/jpg,E387M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M55,default,uuid:26c9a9ed-ea29-4f66-bed5-a9f53dc87ac1,,anonymous,2016-07-11T16:01:59.022000000,COMPLETE,synced,E388M,hot,chest_refrigerator,0,0,Dometic,RCW 50 EG,"[""electricity"", ""gas""]",70,24,image/jpg,E388M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M56,default,uuid:0cffea02-bb6a-410f-bdc3-977bdf4178cf,,anonymous,2016-07-11T16:01:59.023000000,COMPLETE,synced,E389M,temperate,upright_refrigerator,20,0,Zero,PR 245 EK,"[""electricity"", ""kerosene""]",107,18,image/jpg,E389M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M57,default,uuid:755f6f64-6a84-46d1-963a-fbde81fbfc30,,anonymous,2016-07-11T16:01:59.025000000,COMPLETE,synced,E390M,temperate,upright_refrigerator,20,0,Zero,GR 245 G/E,"[""electricity"", ""gas""]",107,18,image/jpg,E390M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M58,default,uuid:fdc04c69-fbe5-414c-bc32-f1845a4d0030,,anonymous,2016-07-11T16:01:59.027000000,COMPLETE,synced,E391M,hot,chest_refrigerator,2.4,0,Dometic,RCW 50 EK,"[""electricity"", ""kerosene""]",70,24,image/jpg,E391M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M59,default,uuid:ddd64842-f1a7-404d-a135-e0321ca2b605,,anonymous,2016-07-11T16:01:59.029000000,COMPLETE,synced,E392M,hot,solar_photovoltaic_refrigerator,30,0,Norcoast,Model 120-30,"[""solar""]",120,63,image/jpg,E392M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M6,default,uuid:eaaaa5ce-2f71-417e-97f7-77aa77a406a8,,anonymous,2016-07-11T16:01:59.025000000,COMPLETE,synced,E003002,hot,chest_freezer,121,92,Haier,HBD-116,"[""electricity""]",0,0,image/jpg,E003002.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M60,default,uuid:3800a734-351b-4486-9ccb-121cf5d0a8ff,,anonymous,2016-07-11T16:01:59.031000000,COMPLETE,synced,E393M,hot,solar_photovoltaic_refrigerator,9,0,Dometic,RCW 50DC,"[""solar""]",70,24,image/jpg,E393M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M61,default,uuid:703d1f39-2ea0-4632-8b6c-91f6139c012e,,anonymous,2016-07-11T16:01:59.033000000,COMPLETE,synced,E394M,hot,chest_refrigerator,9,0,Dometic,RCW 50 AC,"[""electricity""]",70,24,image/jpg,E394M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M62,default,uuid:a7536095-fd3d-42a6-bf5f-8f591d5f20b5,,anonymous,2016-07-11T16:01:59.035000000,COMPLETE,synced,E395M,hot,chest_freezer,230,144,Zero,PF 230 IP KE,"[""electricity"", ""kerosene""]",0,0,image/jpg,E395M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M63,default,uuid:3f0fc9f7-28e6-44a6-9491-6154209cc155,,anonymous,2016-07-11T16:01:59.040000000,COMPLETE,synced,E396M,hot,chest_freezer,111,72,Vestfrost,MF 114,"[""electricity""]",0,0,image/jpg,E396M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M64,default,uuid:c5d1ee9b-1172-45d3-89cb-d51b181a9586,,anonymous,2016-07-11T16:01:59.042000000,COMPLETE,synced,E397M,hot,chest_freezer,213,192,Vestfrost,MF 214,"[""electricity""]",0,0,image/jpg,E397M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M65,default,uuid:2a94183d-0367-4173-9689-a32dd2e281e2,,anonymous,2016-07-11T16:01:59.044000000,COMPLETE,synced,E398M,hot,chest_freezer,323,264,Vestfrost,MF 314,"[""electricity""]",0,0,image/jpg,E398M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M66,default,uuid:b7da48ba-be11-4505-bc9c-dcd94fe24151,,anonymous,2016-07-11T16:01:59.047000000,COMPLETE,synced,E399M,hot,chest_freezer,300,264,Dometic,FCW 300,"[""electricity""]",0,0,image/jpg,E399M.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M67,default,uuid:38659f85-6aba-40be-810e-a19aa984b374,,anonymous,2016-07-11T16:01:59.049000000,COMPLETE,synced,E999,temperate,chest_freezer,308,0,Defy South Africa,C320,"[""electricity""]",0,0,image/jpg,E999.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M68,default,uuid:00f0bd27-46dc-4b77-b567-efd231445ac9,,anonymous,2016-07-11T16:01:59.051000000,COMPLETE,synced,U001,temperate,upright_refrigerator,0,0,UNKNOWN,DOMESTIC KEROSENE,"[""kerosene""]",0,0,image/jpg,U001.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M7,default,uuid:23ce7b94-d062-47a4-a96c-96e7796e88c3,,anonymous,2016-07-11T16:01:59.027000000,COMPLETE,synced,E003003,hot,chest_freezer,298,224,Haier,HBD-286,"[""electricity""]",0,0,image/jpg,E003003.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M8,default,uuid:f85f720b-c8c9-4f5d-9eca-4028da708050,,anonymous,2016-07-11T16:01:59.029000000,COMPLETE,synced,E003004,hot,ice_pack_freezer,247,0,Dometic,TFW 800,"[""electricity""]",0,0,image/jpg,E003004.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M9,default,uuid:87175402-3c2e-4b19-a5d5-401d48e7589f,,anonymous,2016-07-11T16:01:59.031000000,COMPLETE,synced,E003005,hot,ice_lined_refrigerator,0,0,Haier,HBC-70,"[""electricity""]",71,45,image/jpg,E003005.jpg
