Location_accuracy,Location_altitude,Location_latitude,Location_longitude,_default_access,_group_modify,_group_privileged,_group_read_only,_id,admin_region_id,catchment_population,contact_name,contact_phone_number,contact_title,distance_to_supply,electricity_source,facility_id,facility_name,facility_ownership,facility_type,fuel_availability,grid_power_availability,"immunization_services_offered",number_of_cold_boxes,number_of_fs_cold_boxes,"number_of_fs_vaccine_carriers","number_of_vaccine_carriers",vaccine_supply_interval,vaccine_supply_mode
0.0,0.0,-16.759907,35.04675,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H775,"78b373de-695a-4de1-aba4-ca26d589a82c",4114,"DEVIS MOSES MTHYOLA",,,79.0,none,1027-0016,"Mitsamvu Health Centre",public,dispensary,,none,both,0,0,0,0,4,both
0.0,0.0,-16.730036,35.269714,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H770,"78b373de-695a-4de1-aba4-ca26d589a82c",24027,"TELEZA BISENTI",,,22.0,grid,1027-0011,"Tengani Health Centre",public,community_hospital,,more_than_16,both,0,0,0,0,12,both
0.0,0.0,-16.691912,34.966423,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H776,"78b373de-695a-4de1-aba4-ca26d589a82c",4144,"HOREACE CHIMWANZA",,,71.0,none,1027-0017,Kanyimbi,public,dispensary,,none,both,0,0,0,0,4,both
0.0,0.0,-16.67971,35.1975,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H771,"78b373de-695a-4de1-aba4-ca26d589a82c",8403,"PETER AMOSI",,,25.0,grid,1027-0012,"Nyamithuthu Health Centre",public,community_hospital,,more_than_16,both,0,0,0,0,4,both
0.0,0.0,-16.66753,34.87926,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H692,"106d4e40-fde6-4558-9e24-f37194131fa2",2978,"KONDWANI MANDEYA",,,50.0,none,1023-0004,"Thendo Health Post",public,dispensary,,none,both,0,0,0,0,4,delivered
0.0,0.0,-16.625925,35.155758,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H772,"78b373de-695a-4de1-aba4-ca26d589a82c",9366,"JOSEPHY LUMBE",,,35.0,grid,1027-0013,"Phokera Health Centre",public,community_hospital,,more_than_16,both,0,0,0,0,4,both
0.0,0.0,-16.57304,35.110577,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H773,"78b373de-695a-4de1-aba4-ca26d589a82c",23304,"AZANI BASIKOLO",,,48.0,grid,1027-0014,"Kalemba Community Hospital",faithbased,hospital,,more_than_16,both,0,0,0,0,4,both
0.0,0.0,-16.550877,34.923832,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H691,"106d4e40-fde6-4558-9e24-f37194131fa2",37924,"LAWRENCE CHAIMA",,,74.0,none,1023-0003,"Dolo Health Centre",public,community_hospital,,none,both,0,0,0,0,4,delivered
0.0,0.0,-16.540127,35.01077,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H774,"78b373de-695a-4de1-aba4-ca26d589a82c",14236,"CAROL CHIGWALE",,,69.0,grid,1027-0015,"Sorgin Health Centre",public,community_hospital,,more_than_16,both,0,0,0,0,4,both
0.0,0.0,-16.522387,34.98106,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H693,"106d4e40-fde6-4558-9e24-f37194131fa2",3827,"DAVIS PHIRI",,,12.0,grid,1023-0005,"Konzere Health Post",public,dispensary,,more_than_16,both,0,0,0,0,4,collected
0.0,0.0,-16.519043,35.17273,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H777,"78b373de-695a-4de1-aba4-ca26d589a82c",14165,"DAVID JEKE",,,15.0,grid,1027-0018,Makhanga,public,community_hospital,,more_than_16,both,0,0,0,0,4,collected
0.0,0.0,-16.488747,35.15913,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H779,"78b373de-695a-4de1-aba4-ca26d589a82c",6168,"BOSTON NYAKAMERA",,,13.0,none,1027-0020,"Mchacha Health Centre",public,dispensary,,none,both,0,0,0,0,4,collected
0.0,0.0,-16.483118,34.819798,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H724,"106d4e40-fde6-4558-9e24-f37194131fa2",5406,"RICHARD KATUNGA",,,7.0,none,1023-0036,"Saopa Health Post",public,dispensary,,none,both,0,0,0,0,4,collected
0.0,0.0,-16.476856,34.72371,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H715,"106d4e40-fde6-4558-9e24-f37194131fa2",11518,"NICO ELATONI",,,81.0,none,1023-0027,"Mkumaniza Health Centre",public,community_hospital,,none,both,0,0,0,0,4,delivered
0.0,0.0,-16.456776,34.891617,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H694,"106d4e40-fde6-4558-9e24-f37194131fa2",57566,"MERCY CHIJOTA",,,65.0,grid,1023-0006,"Mgabu Rural Hospital",public,district_hospital,,more_than_16,both,0,0,0,0,4,both
0.0,0.0,-16.454147,35.258118,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H778,"78b373de-695a-4de1-aba4-ca26d589a82c",6282,"FANUWEL CHANGWA",,,16.0,none,1027-0019,"Sankhulani Health Health Centre",public,community_hospital,,none,both,0,0,0,0,4,collected
0.0,0.0,-16.416986,35.151794,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H781,"78b373de-695a-4de1-aba4-ca26d589a82c",7909,"SYDAY MAKOKA",,,4.0,none,1027-0022,"Mulolo Health Centre",public,dispensary,,none,both,0,0,0,0,4,collected
0.0,0.0,-16.416412,35.170742,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H780,"78b373de-695a-4de1-aba4-ca26d589a82c",19797,"ANNA BANDE",,,100.0,grid,1027-0021,"Trinity Mission Hospital",faithbased,rural_hospital,,more_than_16,both,0,0,0,0,4,collected
0.0,0.0,-16.400587,34.884888,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H711,"106d4e40-fde6-4558-9e24-f37194131fa2",2851,"TAULAYI MAPULANGA",,,25.0,grid,1023-0023,"Alimenda Clinic",private,community_hospital,,more_than_16,static,0,0,0,0,4,delivered
0.0,0.0,-16.395851,34.77497,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H713,"106d4e40-fde6-4558-9e24-f37194131fa2",23912,"LYSON THOM",,,25.0,none,1023-0025,"Chipwaira Health Centre",public,community_hospital,,none,both,0,0,0,0,4,delivered
0.0,0.0,-16.369791,35.230717,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H810,"5b9d8445-4ba3-436c-9cfe-bbfca8e7cb17",12731,"DUNCAN MANANGA",,,10.0,none,1028-0027,Gombe,public,community_hospital,,none,both,0,0,0,0,4,collected
0.0,0.0,-16.365072,34.68157,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H714,"106d4e40-fde6-4558-9e24-f37194131fa2",10758,"SUMZEY MSAKA",,,13.0,none,1023-0026,"Therere Health Post",public,dispensary,,none,both,0,0,0,0,4,delivered
0.0,0.0,-16.336672,35.200542,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H809,"5b9d8445-4ba3-436c-9cfe-bbfca8e7cb17",7709,"ELLIAS WILSON SABOLA",,,7.0,grid,1028-0026,Nsabwe,public,community_hospital,,more_than_16,both,0,0,0,0,4,delivered
0.0,0.0,-16.334602,35.09587,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H782,"78b373de-695a-4de1-aba4-ca26d589a82c",14789,"STANLEY RANK",,,20.0,none,1027-0023,"Masenjere Health Centre",public,community_hospital,,none,both,0,0,0,0,4,collected
0.0,0.0,-16.321293,35.263184,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H811,"5b9d8445-4ba3-436c-9cfe-bbfca8e7cb17",10514,"BULANDSON MASTER",,,8.0,none,1028-0028,Nkhataombere,public,dispensary,,none,both,0,0,0,0,4,both
0.0,0.0,-16.318304,35.206623,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H820,"5b9d8445-4ba3-436c-9cfe-bbfca8e7cb17",18515,,,,78.0,grid,1028-0037,Thekerani,public,community_hospital,,more_than_16,both,0,0,0,0,4,both
0.0,0.0,-16.28364,34.83798,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H726,"106d4e40-fde6-4558-9e24-f37194131fa2",10304,"JIA JUSTINE JIA",,,7.0,none,1023-0038,"Mafale Dispensary",public,health_center,,none,both,0,0,0,0,4,collected
0.0,0.0,-16.273457,35.196224,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H827,"5b9d8445-4ba3-436c-9cfe-bbfca8e7cb17",13707,"F. MAHENGE",,,60.0,none,1028-0044,Mapanga,public,community_hospital,,none,both,0,0,0,0,4,delivered
0.0,0.0,-16.273323,34.879898,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H710,"106d4e40-fde6-4558-9e24-f37194131fa2",2488,"EVERSON MAGUDA",,,5.0,grid,1023-0022,"Mkombezi Clinic",private,community_hospital,,more_than_16,static,0,0,0,0,4,delivered
0.0,0.0,-16.2678,34.862885,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H725,"106d4e40-fde6-4558-9e24-f37194131fa2",25682,"PATRICK KHOFI",,,3.0,grid,1023-0037,"Hunger Project Health Post",private,community_hospital,,more_than_16,static,0,0,0,0,4,delivered
0.0,0.0,-16.26609,35.05711,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H721,"106d4e40-fde6-4558-9e24-f37194131fa2",23572,"LAIZA MALUNGA",,,45.0,none,1023-0033,"Mitondo Health Post",public,dispensary,,none,both,0,0,0,0,4,delivered
0.0,0.0,-16.259064,35.29521,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H826,"5b9d8445-4ba3-436c-9cfe-bbfca8e7cb17",8530,"YONA F. BAMUSI",,,85.0,none,1028-0043,Chipho,faithbased,community_hospital,,none,both,0,0,0,0,4,both
0.0,0.0,-16.25562,34.89132,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H706,"106d4e40-fde6-4558-9e24-f37194131fa2",1767,"CHIFUNDO KONDONI",,,35.0,grid,1023-0018,"Illovo Factory",private,community_hospital,,more_than_16,static,0,0,0,0,4,both
0.0,0.0,-16.251635,34.86679,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H695,"106d4e40-fde6-4558-9e24-f37194131fa2",68993,"JOSEPHAT MBALE",,,65.0,grid,1023-0007,"Montfort Rural Hospital",faithbased,rural_hospital,,more_than_16,both,0,0,0,0,4,both
0.0,0.0,-16.248194,35.16583,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H819,"5b9d8445-4ba3-436c-9cfe-bbfca8e7cb17",4517,"S. CHIKONJE",,,7.0,none,1028-0036,Mbalanguzi,public,dispensary,,none,both,0,0,0,0,4,both
0.0,0.0,-16.238998,34.91084,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H707,"106d4e40-fde6-4558-9e24-f37194131fa2",3935,"JOEL KAZEMBE",,,20.0,grid,1023-0019,"Kalulu Clinic",private,community_hospital,,more_than_16,static,0,0,0,0,4,delivered
0.0,0.0,-16.235058,35.199062,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H824,"5b9d8445-4ba3-436c-9cfe-bbfca8e7cb17",17568,"JOYCE CHIROMO",,,48.0,grid,1028-0041,Zowa,public,community_hospital,,more_than_16,both,0,0,0,0,4,both
0.0,0.0,-16.229631,35.146782,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H808,"5b9d8445-4ba3-436c-9cfe-bbfca8e7cb17",20600,"MERCY SUPEDI",,,39.0,none,1028-0025,Changata,public,community_hospital,,none,both,0,0,0,0,4,both
0.0,0.0,-16.22089,34.68825,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H704,"106d4e40-fde6-4558-9e24-f37194131fa2",16354,"GEOFREY TEMBO",,,33.0,none,1023-0016,"Ndakwera Health Centre",public,community_hospital,,none,both,0,0,0,0,4,delivered
0.0,0.0,-16.219608,34.85374,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H709,"106d4e40-fde6-4558-9e24-f37194131fa2",2890,"JOSEPH CHIPWA",,,8.0,grid,1023-0021,"Mangulenje Clinic",private,community_hospital,,more_than_16,static,0,0,0,0,4,collected
0.0,0.0,-16.214924,35.13503,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H806,"5b9d8445-4ba3-436c-9cfe-bbfca8e7cb17",20804,"WELLINGTON NDILANDE",,,34.0,grid,1028-0023,"St Martins",faithbased,community_hospital,,more_than_16,both,0,0,0,0,4,both
0.0,0.0,-16.204247,35.294968,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H825,"5b9d8445-4ba3-436c-9cfe-bbfca8e7cb17",8079,"KNOWLWDGE MITEPELA",,,65.0,none,1028-0042,Sandama,public,dispensary,,none,both,0,0,0,0,4,delivered
0.0,0.0,-16.197706,34.79893,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H712,"106d4e40-fde6-4558-9e24-f37194131fa2",1507,"MC MILLAN MAKULUNI",,,30.0,grid,1023-0024,"Lengwe Clinic",private,community_hospital,,more_than_16,static,0,0,0,0,4,delivered
0.0,0.0,-16.192211,35.00973,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H720,"106d4e40-fde6-4558-9e24-f37194131fa2",56766,"KENNEDY THALA",,,35.0,none,1023-0032,"Makhwira Health Centre",public,community_hospital,,none,both,0,0,0,0,4,delivered
0.0,0.0,-16.19203,35.104954,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H804,"5b9d8445-4ba3-436c-9cfe-bbfca8e7cb17",1117,"ANDREW LIKAGWA",,,5.0,grid,1028-0021,Makwasa,private,community_hospital,,more_than_16,static,0,0,0,0,4,collected
0.0,0.0,-16.18665,34.87982,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H708,"106d4e40-fde6-4558-9e24-f37194131fa2",3796,"CHARLES CHILOKOTENI",,,12.0,grid,1023-0020,"Mwanza Clinic",private,community_hospital,,more_than_16,static,0,0,0,0,4,delivered
0.0,0.0,-16.179043,35.278988,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H788,"5b9d8445-4ba3-436c-9cfe-bbfca8e7cb17",9899,"CHANCY MBEWE",,,27.0,none,1028-0005,Makapwa,private,community_hospital,,none,both,0,0,0,0,4,both
0.0,0.0,-16.178564,35.19028,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H807,"5b9d8445-4ba3-436c-9cfe-bbfca8e7cb17",4154,"NDY M KAPOMBEZA",,,9.0,none,1028-0024,"Malosa Health Post",public,dispensary,,none,both,0,0,0,0,4,collected
0.0,0.0,-16.168512,35.109406,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H805,"5b9d8445-4ba3-436c-9cfe-bbfca8e7cb17",39661,"LUCY MACHEYA",,,20.0,grid,1028-0022,Malamulo,faithbased,rural_hospital,,more_than_16,none,0,0,0,0,4,both
0.0,0.0,-16.153906,35.340076,HIDDEN,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,H580,"df1f7e91-a49e-4d8e-9129-dc6cb1901ffe",22834,"KATOWA KAYANGE",,,40.0,none,1019-0021,"Chinyama Health Centre",public,community_hospital,,none,both,0,0,0,0,4,delivered
0.0,0.0,-16.14925,34.853027,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H699,"106d4e40-fde6-4558-9e24-f37194131fa2",16366,"CHRISPINE KADANGO",,,15.0,none,1023-0011,"Bereu Dispensary",public,health_center,,none,both,0,0,0,0,4,both
0.0,0.0,-16.146652,34.6791,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H705,"106d4e40-fde6-4558-9e24-f37194131fa2",6673,"VICTOR CHIPHUKIRE",,,15.0,none,1023-0017,"Mandrade Health Post",public,dispensary,,none,both,0,0,0,0,4,delivered
0.0,0.0,-16.144026,34.95812,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H719,"106d4e40-fde6-4558-9e24-f37194131fa2",15000,"DECKS JAM",,,22.0,none,1023-0031,"Mkhathe Health Post",public,dispensary,,none,both,0,0,0,0,4,delivered
0.0,0.0,-16.142046,35.182373,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H823,"5b9d8445-4ba3-436c-9cfe-bbfca8e7cb17",8811,"PATRICK CHILENGA",,,15.0,none,1028-0040,Namalime,public,dispensary,,none,both,0,0,0,0,4,delivered
0.0,0.0,-16.141155,35.524117,HIDDEN,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,H562,"df1f7e91-a49e-4d8e-9129-dc6cb1901ffe",24386,"CHRISTOPHER CHIWANDA",,,14.0,grid,1019-0003,Mpala,public,community_hospital,,more_than_16,both,0,0,0,0,4,both
0.0,0.0,-16.137133,35.097744,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H803,"5b9d8445-4ba3-436c-9cfe-bbfca8e7cb17",1900,"GLADYS CHIMWALA",,,15.0,grid,1028-0020,Sambankhanga,private,community_hospital,,more_than_16,static,0,0,0,0,4,both
0.0,0.0,-16.123907,35.083744,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H802,"5b9d8445-4ba3-436c-9cfe-bbfca8e7cb17",13180,"MICHAEL SABOLA",,,11.0,grid,1028-0019,Mtambanyama,faithbased,community_hospital,,more_than_16,both,0,0,0,0,4,delivered
0.0,0.0,-16.117437,35.097565,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H800,"5b9d8445-4ba3-436c-9cfe-bbfca8e7cb17",1500,"DICK CHISONI",,,8.0,grid,1028-0017,Kasembeleka,private,community_hospital,,more_than_16,static,0,0,0,0,4,collected
0.0,0.0,-16.114313,35.4048,HIDDEN,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,H581,"df1f7e91-a49e-4d8e-9129-dc6cb1901ffe",5811,"STEPHEN NAZOMBE",,,38.0,none,1019-0022,"Dzenje Maternity",public,health_post,,none,both,0,0,0,0,4,both
0.0,0.0,-16.111193,35.139492,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H821,"5b9d8445-4ba3-436c-9cfe-bbfca8e7cb17",1804,"MEDSON MWANAKHU",,,5.0,grid,1028-0038,Nchima,private,community_hospital,,more_than_16,static,0,0,0,0,4,collected
0.0,0.0,-16.108334,35.24468,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H789,"5b9d8445-4ba3-436c-9cfe-bbfca8e7cb17",14053,"MERCY DAIMONI",,,16.0,grid,1028-0006,Mitengo,faithbased,community_hospital,,more_than_16,both,0,0,0,0,4,delivered
0.0,0.0,-16.102646,34.914913,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H718,"106d4e40-fde6-4558-9e24-f37194131fa2",12842,"HISTONE ARAN MKONE",,,23.0,grid,1023-0030,"Mapelera Health Health",public,community_hospital,,8_to_16,both,0,0,0,0,4,delivered
0.0,0.0,-16.099707,35.477573,HIDDEN,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,H561,"df1f7e91-a49e-4d8e-9129-dc6cb1901ffe",16722,"CHARLES MALEMBA",,,16.0,none,1019-0002,Milonde,public,community_hospital,,none,both,0,0,0,0,4,both
0.0,0.0,-16.099323,34.996494,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H814,"5b9d8445-4ba3-436c-9cfe-bbfca8e7cb17",23000,"MWESIYANI PHIRI",,,17.0,none,1028-0031,Dzimbiri,public,dispensary,,none,both,0,0,0,0,4,delivered
0.0,0.0,-16.096148,35.074715,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H801,"5b9d8445-4ba3-436c-9cfe-bbfca8e7cb17",1159,"RICHARD YUDAHRIX",,,9.0,grid,1028-0018,Mianga,public,community_hospital,,more_than_16,both,0,0,0,0,4,both
0.0,0.0,-16.09571,34.622868,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H696,"106d4e40-fde6-4558-9e24-f37194131fa2",21835,"EMANUEL KAMANGA",,,25.0,grid,1023-0008,"Kakoma Health Centre",public,community_hospital,,more_than_16,both,0,0,0,0,4,delivered
0.0,0.0,-16.093838,35.270782,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H787,"5b9d8445-4ba3-436c-9cfe-bbfca8e7cb17",29752,"RODGERS B BENDULO",,,20.0,grid,1028-0004,Khonjeni,public,community_hospital,,more_than_16,both,0,0,0,0,4,both
0.0,0.0,-16.090078,35.34539,HIDDEN,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,H579,"df1f7e91-a49e-4d8e-9129-dc6cb1901ffe",35250,"MCHONEY KULISEMBA",,,28.0,none,1019-0020,"Mbiza Health Centre",public,community_hospital,,none,both,0,0,0,0,4,both
0.0,0.0,-16.087063,35.66424,HIDDEN,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,H564,"df1f7e91-a49e-4d8e-9129-dc6cb1901ffe",1640,"ON MAFERAWYS",,,24.0,grid,1019-0005,"Rou Estate Dispensary",private,community_hospital,,more_than_16,both,0,0,0,0,4,both
