"_id","_form_id","_locale","_savepoint_type","_savepoint_timestamp","_savepoint_creator","Type_id","House_id","Name","Price_8oz","Price_12oz","Price_16oz","Hot","Cold","Loose_Leaf","Bags","_row_etag","_filter_type","_filter_value"
"60f7c426-41e3-410d-a859-facca5008da6","","","COMPLETE","2014-02-19T16:02:18.061000000","","1","t2","Widow Zheng He","4.90","5.10","5.20","Yes","Yes","Yes","Yes","","",""
"61834eb0-5885-48cd-8932-914fa9348503","","","COMPLETE","2014-02-19T16:02:18.063000000","","7","t2","Moontea","10.00","15.00","20.00","Yes","No","Yes","No","","",""
"04cc978e-1337-4a05-8ba5-caed7d401fa6","","","COMPLETE","2014-02-19T16:02:18.065000000","","1","t3","Cold Mountain","3.40","4.00","4.60","Yes","No","Yes","No","","",""
"3edc7da0-95d2-4a7a-bcbd-853c8a204631","","","COMPLETE","2014-02-19T16:02:18.067000000","","1","t3","Stonehouse","2.00","3.00","4.00","No","Yes","No","Yes","","",""
"d4345e3c-93e0-47d8-9e60-2b42d649c574","","","COMPLETE","2014-02-19T16:02:18.069000000","","1","t3","Du Fu's Brew","1.80","2.20","2.40","No","Yes","Yes","No","","",""
"3df29f36-b237-4889-af8c-2469454c4f80","","","COMPLETE","2014-02-19T16:02:18.071000000","","1","t3","Pickup","3.00","3.20","3.40","Yes","Yes","Yes","Yes","","",""
"cc9182b7-349e-41f3-8720-ce54c93336fe","","","COMPLETE","2014-02-19T16:02:18.073000000","","1","t3","Big Stick","2.50","3.20","3.90","No","Yes","No","Yes","","",""
"69ae8833-80e3-431e-9b5b-da4a9775f603","","","COMPLETE","2014-02-19T16:02:18.076000000","","4","t3","Kablooey","1.30","1.60","1.90","Yes","No","Yes","No","","",""
"eda3763c-2d8d-497d-9617-2605f85a2d8d","","","COMPLETE","2014-02-19T16:02:18.078000000","","6","t3","Replicated","2.00","2.20","2.40","Yes","No","No","Yes","","",""
"3d644cdb-eaa1-4f30-ac42-87e648673a1a","","","COMPLETE","2014-02-19T16:02:18.080000000","","7","t3","Nunia","4.00","5.00","6.00","Yes","No","Yes","No","","",""
"15bac639-0593-4b64-a09f-deedfdcaf8cb","","","COMPLETE","2014-02-19T16:02:18.082000000","","2","t3","Dragonwell","2.14","2.15","2.16","Yes","Yes","Yes","Yes","","",""
"9da4180e-09f2-444c-9fbb-fa9380358a74","","","COMPLETE","2014-02-19T16:02:18.084000000","","3","t3","Fresh Snow","4.00","4.20","4.40","Yes","No","Yes","No","","",""
"51c1f4ea-d435-4d77-ad7e-cc930bab38fa","","","COMPLETE","2014-02-19T16:02:18.086000000","","5","t3","Red Devil Leaf","1.00","1.45","1.90","No","Yes","No","Yes","","",""
"4b682313-0784-4a86-b1da-e7fd7be6b3ea","","","COMPLETE","2014-02-19T16:02:18.088000000","","1","t3","Red Pine","3.00","4.00","5.00","Yes","Yes","Yes","Yes","","",""
"629347af-a479-48b6-97e7-6f33f76deabf","","","COMPLETE","2014-02-19T16:02:18.090000000","","1","t3","Rexroth","2.00","2.50","3.00","No","Yes","Yes","No","","",""
"54e3b369-5dab-4ad0-a4a7-64b207123b29","","","COMPLETE","2014-02-19T16:02:18.091000000","","7","t3","Wanglaoji",".50",".70",".90","Yes","No","No","Yes","","",""
"b99928b6-8116-4654-8816-58d1f1267656","","","COMPLETE","2014-02-19T16:02:18.096000000","","2","t4","Dragon Tail","2.00","3.00","4.00","No","Yes","Yes","Yes","","",""
"8691c9a5-562e-437a-8f89-08db1bec820b","","","COMPLETE","2014-02-19T16:02:18.099000000","","2","t5","Twinnings","2.50","2.75","3.00","Yes","No","No","Yes","","",""
"b7d04c22-af2e-410c-846c-86794f40db71","","","COMPLETE","2014-02-19T16:02:19.001000000","","3","t6","Nieve","1.00","2.00","3.00","Yes","Yes","Yes","No","","",""
"825d2689-405b-456b-b6a3-69bfc338f934","","","COMPLETE","2014-02-19T16:02:19.002000000","","4","t7","Snap Crackle Pop","1.35","1.40","1.45","No","Yes","No","Yes","","",""
"74a6a0c3-991c-49d0-a003-533a3550eb81","","","COMPLETE","2014-02-19T16:02:19.004000000","","4","t8","Powder Puff","4.00","5.00","6.00","Yes","No","Yes","No","","",""
"30aa6b43-9030-412a-b0b0-0948f6e598d1","","","COMPLETE","2014-02-19T16:02:19.005000000","","2","t9","Odiferous",".20",".30",".40","Yes","Yes","No","Yes","","",""
"fa8d8cd7-dac1-4732-bff5-1f3cadaa1ed2","","","COMPLETE","2014-02-19T16:02:19.008000000","","5","t9","Bush Leaf","2.10","2.20","2.30","No","Yes","Yes","No","","",""
