_sync_tag,,,,
"{""schemaETag"":null,""propertiesETag"":null,""dataETag"":null}",,,,
,,,,
_element_key,_element_name,_element_type,_is_unit_of_retention,_list_child_element_keys
Column,location_accuracy,displayFormat,string,
Column,location_accuracy,displayName,json,"""accuracy"""
Column,location_accuracy,displayVisible,boolean,TRUE
Column,location_accuracy,joins,json,
Column,location_altitude,displayChoicesList,json,
Column,location_altitude,displayFormat,string,
Column,location_altitude,displayName,json,"""altitude"""
Column,location_altitude,displayVisible,boolean,TRUE
Column,location_altitude,joins,json,
Column,location_latitude,displayChoicesList,json,
Column,location_latitude,displayFormat,string,
Column,location_latitude,displayName,json,"""latitude"""
Column,location_latitude,displayVisible,boolean,TRUE
Column,location_latitude,joins,json,
Column,location_longitude,displayChoicesList,json,
Column,location_longitude,displayFormat,string,
Column,location_longitude,displayName,json,"""longitude"""
Column,location_longitude,displayVisible,boolean,TRUE
Column,location_longitude,joins,json,
Column,name,displayChoicesList,json,
Column,name,displayFormat,string,
Column,name,displayName,json,"""name"""
Column,name,displayVisible,boolean,TRUE
Column,name,joins,json,
Column,num_rooms,displayChoicesList,json,
Column,num_rooms,displayFormat,string,
Column,num_rooms,displayName,json,"""num_rooms"""
Column,num_rooms,displayVisible,boolean,TRUE
Column,num_rooms,joins,json,
Column,owner,displayChoicesList,json,
Column,owner,displayFormat,string,
Column,owner,displayName,json,"""owner"""
Column,owner,displayVisible,boolean,TRUE
Column,owner,joins,json,
Column,post_secondary,displayChoicesList,json,
Column,post_secondary,displayFormat,string,
Column,post_secondary,displayName,json,"""post_secondary"""
Column,post_secondary,displayVisible,boolean,TRUE
Column,post_secondary,joins,json,
Column,school_type,displayChoicesList,json,
Column,school_type,displayFormat,string,
Column,school_type,displayName,json,"""school_type"""
Column,school_type,displayVisible,boolean,TRUE
Column,school_type,joins,json,
Column,school_type_items,displayChoicesList,json,
Column,school_type_items,displayFormat,string,
Column,school_type_items,displayName,json,"""items"""
Column,school_type_items,displayVisible,boolean,TRUE
Column,school_type_items,joins,json,
Column,sex,displayChoicesList,json,
Column,sex,displayFormat,string,
Column,sex,displayName,json,"""sex"""
Column,sex,displayVisible,boolean,TRUE
Column,sex,joins,json,
Column,water,displayChoicesList,json,
Column,water,displayFormat,string,
Column,water,displayName,json,"""water"""
Column,water,displayVisible,boolean,TRUE
Column,water,joins,json,
Column,write_language,displayChoicesList,json,
Column,write_language,displayFormat,string,
Column,write_language,displayName,json,"""write_language"""
Column,write_language,displayVisible,boolean,TRUE
Column,write_language,joins,json,
Column,youngest,displayChoicesList,json,
Column,youngest,displayFormat,string,
Column,youngest,displayName,json,"""youngest"""
Column,youngest,displayVisible,boolean,TRUE
Column,youngest,joins,json,
Column,youngest_items,displayChoicesList,json,
Column,youngest_items,displayFormat,string,
Column,youngest_items,displayName,json,"""items"""
Column,youngest_items,displayVisible,boolean,TRUE
Column,youngest_items,joins,json,
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,member
Table,default,colOrder,json,"[""household_id"",""num_rooms"",""electricity"",""water"",""location_latitude"",""location_longitude"",""location_altitude"",""location_accuracy"",""name"",""age"",""sex"",""income_contribution"",""owner"",""youngest"",""write_language"",""attend_school"",""school_type"",""grade_level"",""post_secondary"",""currently_school""]"
Table,default,defaultViewType,string,Spreadsheet
Table,default,displayName,json,"""Household Members"""
Table,default,groupByCols,string,[]
Table,default,indexCol,string,
Table,default,sortCol,string,
Table,default,sortOrder,string,
TableColorRuleGroup,default,StatusColumn.ruleList,object,"[{""mValue"":""rest"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateRest"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""inserting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateInserting"",""mForeground"":-16777216,""mBackground"":-16711936},{""mValue"":""updating"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateUpdating"",""mForeground"":-16777216,""mBackground"":-935891},{""mValue"":""conflicting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateConflicting"",""mForeground"":-16777216,""mBackground"":-65536},{""mValue"":""deleting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateDeleting"",""mForeground"":-16777216,""mBackground"":-12303292}]"
